n = 1.0e+02, Tgas =   9.0, Tdust =   9.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.00155 	1.386e-04 	2.931e-07 	1.362e-04 	1.863e-10 	3.289e-04 	2.973e-13 	1.123e-10 
0.03015 	0.00465 	1.386e-04 	2.958e-07 	1.361e-04 	1.884e-10 	3.289e-04 	3.005e-13 	1.129e-10 
0.05025 	0.00775 	1.386e-04 	2.986e-07 	1.361e-04 	1.905e-10 	3.289e-04 	3.037e-13 	1.135e-10 
0.07035 	0.01086 	1.386e-04 	3.014e-07 	1.361e-04 	1.926e-10 	3.289e-04 	3.070e-13 	1.141e-10 
0.09045 	0.01396 	1.386e-04 	3.042e-07 	1.361e-04 	1.947e-10 	3.290e-04 	3.103e-13 	1.147e-10 
0.11055 	0.01706 	1.386e-04 	3.070e-07 	1.361e-04 	1.969e-10 	3.290e-04 	3.136e-13 	1.153e-10 
0.13065 	0.02016 	1.386e-04 	3.099e-07 	1.361e-04 	1.991e-10 	3.290e-04 	3.170e-13 	1.159e-10 
0.15075 	0.02326 	1.386e-04 	3.128e-07 	1.361e-04 	2.013e-10 	3.290e-04 	3.204e-13 	1.165e-10 
0.17085 	0.02636 	1.386e-04 	3.157e-07 	1.361e-04 	2.036e-10 	3.290e-04 	3.238e-13 	1.171e-10 
0.19095 	0.02946 	1.386e-04 	3.186e-07 	1.361e-04 	2.058e-10 	3.290e-04 	3.273e-13 	1.178e-10 
0.21105 	0.03257 	1.386e-04 	3.216e-07 	1.361e-04 	2.081e-10 	3.290e-04 	3.308e-13 	1.184e-10 
0.23115 	0.03567 	1.386e-04 	3.246e-07 	1.361e-04 	2.104e-10 	3.290e-04 	3.343e-13 	1.190e-10 
0.25125 	0.03877 	1.386e-04 	3.276e-07 	1.361e-04 	2.128e-10 	3.290e-04 	3.379e-13 	1.196e-10 
0.27135 	0.04187 	1.386e-04 	3.306e-07 	1.361e-04 	2.152e-10 	3.290e-04 	3.415e-13 	1.202e-10 
0.29145 	0.04497 	1.386e-04 	3.337e-07 	1.361e-04 	2.176e-10 	3.290e-04 	3.451e-13 	1.209e-10 
0.31155 	0.04807 	1.386e-04 	3.368e-07 	1.361e-04 	2.200e-10 	3.290e-04 	3.488e-13 	1.215e-10 
0.33165 	0.05117 	1.386e-04 	3.400e-07 	1.361e-04 	2.224e-10 	3.290e-04 	3.526e-13 	1.221e-10 
0.35175 	0.05428 	1.386e-04 	3.431e-07 	1.361e-04 	2.249e-10 	3.290e-04 	3.563e-13 	1.228e-10 
