n = 1.3e+02, Tgas =  25.0, Tdust =  25.0, Go = 100.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.00202 	1.465e-04 	2.175e-09 	1.380e-04 	3.689e-13 	3.327e-04 	2.439e-16 	1.445e-12 
0.03015 	0.00605 	1.465e-04 	2.202e-09 	1.380e-04 	3.744e-13 	3.327e-04 	2.477e-16 	1.457e-12 
0.05025 	0.01008 	1.464e-04 	2.229e-09 	1.380e-04 	3.800e-13 	3.326e-04 	2.516e-16 	1.470e-12 
0.07035 	0.01411 	1.464e-04 	2.256e-09 	1.380e-04 	3.856e-13 	3.326e-04 	2.556e-16 	1.482e-12 
0.09045 	0.01814 	1.464e-04 	2.284e-09 	1.380e-04 	3.914e-13 	3.326e-04 	2.596e-16 	1.495e-12 
0.11055 	0.02218 	1.463e-04 	2.313e-09 	1.380e-04 	3.972e-13 	3.326e-04 	2.637e-16 	1.508e-12 
0.13065 	0.02621 	1.463e-04 	2.341e-09 	1.380e-04 	4.030e-13 	3.326e-04 	2.679e-16 	1.520e-12 
0.15075 	0.03024 	1.463e-04 	2.370e-09 	1.380e-04 	4.090e-13 	3.326e-04 	2.721e-16 	1.533e-12 
0.17085 	0.03427 	1.462e-04 	2.400e-09 	1.380e-04 	4.150e-13 	3.326e-04 	2.764e-16 	1.546e-12 
0.19095 	0.03830 	1.462e-04 	2.429e-09 	1.380e-04 	4.211e-13 	3.326e-04 	2.808e-16 	1.559e-12 
0.21105 	0.04233 	1.462e-04 	2.459e-09 	1.380e-04 	4.273e-13 	3.326e-04 	2.852e-16 	1.573e-12 
0.23115 	0.04637 	1.461e-04 	2.490e-09 	1.380e-04 	4.336e-13 	3.326e-04 	2.897e-16 	1.586e-12 
0.25125 	0.05040 	1.461e-04 	2.521e-09 	1.380e-04 	4.399e-13 	3.326e-04 	2.942e-16 	1.599e-12 
0.27135 	0.05443 	1.461e-04 	2.552e-09 	1.380e-04 	4.464e-13 	3.326e-04 	2.988e-16 	1.613e-12 
0.29145 	0.05846 	1.460e-04 	2.584e-09 	1.380e-04 	4.529e-13 	3.326e-04 	3.035e-16 	1.627e-12 
0.31155 	0.06249 	1.460e-04 	2.616e-09 	1.380e-04 	4.595e-13 	3.326e-04 	3.083e-16 	1.640e-12 
0.33165 	0.06653 	1.460e-04 	2.648e-09 	1.380e-04 	4.662e-13 	3.326e-04 	3.131e-16 	1.654e-12 
0.35175 	0.07056 	1.459e-04 	2.681e-09 	1.380e-04 	4.729e-13 	3.326e-04 	3.181e-16 	1.668e-12 
0.37185 	0.07459 	1.459e-04 	2.714e-09 	1.380e-04 	4.798e-13 	3.326e-04 	3.230e-16 	1.682e-12 
0.39195 	0.07862 	1.459e-04 	2.748e-09 	1.380e-04 	4.868e-13 	3.326e-04 	3.281e-16 	1.696e-12 
0.41205 	0.08265 	1.458e-04 	2.782e-09 	1.380e-04 	4.938e-13 	3.326e-04 	3.332e-16 	1.711e-12 
0.43215 	0.08668 	1.458e-04 	2.816e-09 	1.380e-04 	5.009e-13 	3.326e-04 	3.385e-16 	1.725e-12 
0.45225 	0.09072 	1.458e-04 	2.851e-09 	1.380e-04 	5.082e-13 	3.326e-04 	3.438e-16 	1.739e-12 
0.47235 	0.09475 	1.457e-04 	2.886e-09 	1.380e-04 	5.155e-13 	3.326e-04 	3.491e-16 	1.754e-12 
0.49245 	0.09878 	1.457e-04 	2.922e-09 	1.380e-04 	5.229e-13 	3.326e-04 	3.546e-16 	1.769e-12 
0.51255 	0.10281 	1.457e-04 	2.958e-09 	1.380e-04 	5.304e-13 	3.326e-04 	3.601e-16 	1.783e-12 
0.53265 	0.10684 	1.457e-04 	2.995e-09 	1.380e-04 	5.380e-13 	3.326e-04 	3.658e-16 	1.798e-12 
0.55275 	0.11088 	1.456e-04 	3.032e-09 	1.380e-04 	5.457e-13 	3.326e-04 	3.715e-16 	1.813e-12 
0.57285 	0.11491 	1.456e-04 	3.069e-09 	1.380e-04 	5.535e-13 	3.326e-04 	3.773e-16 	1.829e-12 
0.59295 	0.11894 	1.456e-04 	3.107e-09 	1.380e-04 	5.614e-13 	3.326e-04 	3.831e-16 	1.844e-12 
0.61305 	0.12297 	1.455e-04 	3.146e-09 	1.380e-04 	5.694e-13 	3.326e-04 	3.891e-16 	1.859e-12 
0.63315 	0.12700 	1.455e-04 	3.185e-09 	1.380e-04 	5.775e-13 	3.326e-04 	3.952e-16 	1.875e-12 
0.65325 	0.13104 	1.455e-04 	3.224e-09 	1.380e-04 	5.857e-13 	3.326e-04 	4.013e-16 	1.890e-12 
0.67335 	0.13507 	1.454e-04 	3.264e-09 	1.380e-04 	5.940e-13 	3.326e-04 	4.076e-16 	1.906e-12 
0.69345 	0.13910 	1.454e-04 	3.305e-09 	1.380e-04 	6.025e-13 	3.326e-04 	4.139e-16 	1.922e-12 
0.71355 	0.14313 	1.454e-04 	3.345e-09 	1.380e-04 	6.110e-13 	3.326e-04 	4.204e-16 	1.938e-12 
0.73365 	0.14716 	1.454e-04 	3.387e-09 	1.380e-04 	6.196e-13 	3.326e-04 	4.269e-16 	1.954e-12 
0.75375 	0.15119 	1.453e-04 	3.429e-09 	1.380e-04 	6.284e-13 	3.327e-04 	4.335e-16 	1.970e-12 
0.77385 	0.15523 	1.453e-04 	3.471e-09 	1.380e-04 	6.372e-13 	3.327e-04 	4.402e-16 	1.986e-12 
