n = 5.0e+01, Tgas =  35.0, Tdust =  35.0, Go =  10.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.00078 	1.508e-04 	7.421e-09 	1.372e-04 	2.876e-12 	3.307e-04 	1.715e-14 	2.323e-11 
0.03015 	0.00233 	1.508e-04 	7.456e-09 	1.372e-04 	2.890e-12 	3.307e-04 	1.724e-14 	2.329e-11 
0.05025 	0.00388 	1.508e-04 	7.491e-09 	1.372e-04 	2.905e-12 	3.307e-04 	1.734e-14 	2.335e-11 
0.07035 	0.00543 	1.508e-04 	7.525e-09 	1.372e-04 	2.920e-12 	3.307e-04 	1.743e-14 	2.341e-11 
0.09045 	0.00698 	1.508e-04 	7.561e-09 	1.372e-04 	2.934e-12 	3.307e-04 	1.752e-14 	2.347e-11 
0.11055 	0.00853 	1.507e-04 	7.596e-09 	1.372e-04 	2.949e-12 	3.308e-04 	1.762e-14 	2.354e-11 
0.13065 	0.01008 	1.507e-04 	7.631e-09 	1.372e-04 	2.964e-12 	3.308e-04 	1.771e-14 	2.360e-11 
0.15075 	0.01163 	1.507e-04 	7.667e-09 	1.372e-04 	2.979e-12 	3.308e-04 	1.781e-14 	2.366e-11 
0.17085 	0.01318 	1.507e-04 	7.702e-09 	1.372e-04 	2.994e-12 	3.308e-04 	1.790e-14 	2.372e-11 
0.19095 	0.01473 	1.507e-04 	7.738e-09 	1.372e-04 	3.009e-12 	3.308e-04 	1.800e-14 	2.378e-11 
0.21105 	0.01628 	1.507e-04 	7.774e-09 	1.372e-04 	3.024e-12 	3.308e-04 	1.810e-14 	2.384e-11 
0.23115 	0.01783 	1.507e-04 	7.811e-09 	1.372e-04 	3.039e-12 	3.308e-04 	1.819e-14 	2.390e-11 
0.25125 	0.01938 	1.507e-04 	7.847e-09 	1.372e-04 	3.055e-12 	3.308e-04 	1.829e-14 	2.396e-11 
0.27135 	0.02093 	1.506e-04 	7.884e-09 	1.372e-04 	3.070e-12 	3.308e-04 	1.839e-14 	2.403e-11 
0.29145 	0.02249 	1.506e-04 	7.920e-09 	1.372e-04 	3.086e-12 	3.308e-04 	1.849e-14 	2.409e-11 
0.31155 	0.02404 	1.506e-04 	7.957e-09 	1.372e-04 	3.101e-12 	3.308e-04 	1.859e-14 	2.415e-11 
0.33165 	0.02559 	1.506e-04 	7.994e-09 	1.372e-04 	3.117e-12 	3.308e-04 	1.869e-14 	2.421e-11 
0.35175 	0.02714 	1.506e-04 	8.032e-09 	1.372e-04 	3.132e-12 	3.308e-04 	1.879e-14 	2.427e-11 
0.37185 	0.02869 	1.506e-04 	8.069e-09 	1.372e-04 	3.148e-12 	3.308e-04 	1.889e-14 	2.434e-11 
0.39195 	0.03024 	1.506e-04 	8.107e-09 	1.372e-04 	3.164e-12 	3.308e-04 	1.899e-14 	2.440e-11 
0.41205 	0.03179 	1.506e-04 	8.144e-09 	1.372e-04 	3.180e-12 	3.308e-04 	1.909e-14 	2.446e-11 
0.43215 	0.03334 	1.506e-04 	8.182e-09 	1.372e-04 	3.196e-12 	3.308e-04 	1.919e-14 	2.453e-11 
0.45225 	0.03489 	1.505e-04 	8.221e-09 	1.372e-04 	3.212e-12 	3.308e-04 	1.930e-14 	2.459e-11 
0.47235 	0.03644 	1.505e-04 	8.259e-09 	1.372e-04 	3.228e-12 	3.309e-04 	1.940e-14 	2.465e-11 
0.49245 	0.03799 	1.505e-04 	8.297e-09 	1.372e-04 	3.244e-12 	3.309e-04 	1.950e-14 	2.472e-11 
0.51255 	0.03954 	1.505e-04 	8.336e-09 	1.372e-04 	3.261e-12 	3.309e-04 	1.961e-14 	2.478e-11 
0.53265 	0.04109 	1.505e-04 	8.375e-09 	1.372e-04 	3.277e-12 	3.309e-04 	1.971e-14 	2.484e-11 
0.55275 	0.04264 	1.505e-04 	8.414e-09 	1.372e-04 	3.293e-12 	3.309e-04 	1.982e-14 	2.491e-11 
0.57285 	0.04420 	1.505e-04 	8.453e-09 	1.372e-04 	3.310e-12 	3.309e-04 	1.993e-14 	2.497e-11 
0.59295 	0.04575 	1.505e-04 	8.493e-09 	1.372e-04 	3.327e-12 	3.309e-04 	2.003e-14 	2.504e-11 
0.61305 	0.04730 	1.505e-04 	8.532e-09 	1.372e-04 	3.343e-12 	3.309e-04 	2.014e-14 	2.510e-11 
0.63315 	0.04885 	1.504e-04 	8.572e-09 	1.372e-04 	3.360e-12 	3.309e-04 	2.025e-14 	2.517e-11 
0.65325 	0.05040 	1.504e-04 	8.612e-09 	1.372e-04 	3.377e-12 	3.309e-04 	2.036e-14 	2.523e-11 
0.67335 	0.05195 	1.504e-04 	8.652e-09 	1.372e-04 	3.394e-12 	3.309e-04 	2.047e-14 	2.530e-11 
0.69345 	0.05350 	1.504e-04 	8.692e-09 	1.372e-04 	3.411e-12 	3.309e-04 	2.058e-14 	2.536e-11 
0.71355 	0.05505 	1.504e-04 	8.733e-09 	1.372e-04 	3.428e-12 	3.309e-04 	2.069e-14 	2.543e-11 
0.73365 	0.05660 	1.504e-04 	8.773e-09 	1.372e-04 	3.445e-12 	3.309e-04 	2.080e-14 	2.549e-11 
0.75375 	0.05815 	1.504e-04 	8.814e-09 	1.373e-04 	3.462e-12 	3.309e-04 	2.091e-14 	2.556e-11 
0.77385 	0.05970 	1.504e-04 	8.855e-09 	1.373e-04 	3.480e-12 	3.309e-04 	2.102e-14 	2.562e-11 
0.79395 	0.06125 	1.504e-04 	8.897e-09 	1.373e-04 	3.497e-12 	3.309e-04 	2.114e-14 	2.569e-11 
0.81405 	0.06280 	1.503e-04 	8.938e-09 	1.373e-04 	3.515e-12 	3.309e-04 	2.125e-14 	2.576e-11 
0.83415 	0.06435 	1.503e-04 	8.980e-09 	1.373e-04 	3.532e-12 	3.310e-04 	2.136e-14 	2.582e-11 
0.85425 	0.06591 	1.503e-04 	9.022e-09 	1.373e-04 	3.550e-12 	3.310e-04 	2.148e-14 	2.589e-11 
0.87435 	0.06746 	1.503e-04 	9.064e-09 	1.373e-04 	3.568e-12 	3.310e-04 	2.159e-14 	2.596e-11 
0.89445 	0.06901 	1.503e-04 	9.106e-09 	1.373e-04 	3.586e-12 	3.310e-04 	2.171e-14 	2.602e-11 
0.91455 	0.07056 	1.503e-04 	9.148e-09 	1.373e-04 	3.604e-12 	3.310e-04 	2.183e-14 	2.609e-11 
0.93465 	0.07211 	1.503e-04 	9.191e-09 	1.373e-04 	3.622e-12 	3.310e-04 	2.194e-14 	2.616e-11 
0.95475 	0.07366 	1.503e-04 	9.234e-09 	1.373e-04 	3.640e-12 	3.310e-04 	2.206e-14 	2.623e-11 
0.97485 	0.07521 	1.503e-04 	9.277e-09 	1.373e-04 	3.658e-12 	3.310e-04 	2.218e-14 	2.629e-11 
0.99495 	0.07676 	1.502e-04 	9.320e-09 	1.373e-04 	3.676e-12 	3.310e-04 	2.230e-14 	2.636e-11 
1.01505 	0.07831 	1.502e-04 	9.364e-09 	1.373e-04 	3.695e-12 	3.310e-04 	2.242e-14 	2.643e-11 
1.03515 	0.07986 	1.502e-04 	9.407e-09 	1.373e-04 	3.713e-12 	3.310e-04 	2.254e-14 	2.650e-11 
1.05525 	0.08141 	1.502e-04 	9.451e-09 	1.373e-04 	3.732e-12 	3.310e-04 	2.266e-14 	2.657e-11 
1.07535 	0.08296 	1.502e-04 	9.495e-09 	1.373e-04 	3.751e-12 	3.310e-04 	2.278e-14 	2.664e-11 
1.09545 	0.08451 	1.502e-04 	9.539e-09 	1.373e-04 	3.769e-12 	3.310e-04 	2.291e-14 	2.670e-11 
1.11555 	0.08606 	1.502e-04 	9.584e-09 	1.373e-04 	3.788e-12 	3.310e-04 	2.303e-14 	2.677e-11 
1.13565 	0.08762 	1.502e-04 	9.628e-09 	1.373e-04 	3.807e-12 	3.310e-04 	2.315e-14 	2.684e-11 
1.15575 	0.08917 	1.502e-04 	9.673e-09 	1.373e-04 	3.826e-12 	3.310e-04 	2.328e-14 	2.691e-11 
1.17585 	0.09072 	1.501e-04 	9.718e-09 	1.373e-04 	3.845e-12 	3.310e-04 	2.340e-14 	2.698e-11 
1.19595 	0.09227 	1.501e-04 	9.764e-09 	1.373e-04 	3.864e-12 	3.311e-04 	2.353e-14 	2.705e-11 
1.21605 	0.09382 	1.501e-04 	9.809e-09 	1.373e-04 	3.884e-12 	3.311e-04 	2.365e-14 	2.712e-11 
1.23615 	0.09537 	1.501e-04 	9.855e-09 	1.373e-04 	3.903e-12 	3.311e-04 	2.378e-14 	2.719e-11 
1.25625 	0.09692 	1.501e-04 	9.901e-09 	1.373e-04 	3.923e-12 	3.311e-04 	2.391e-14 	2.726e-11 
1.27635 	0.09847 	1.501e-04 	9.947e-09 	1.373e-04 	3.942e-12 	3.311e-04 	2.404e-14 	2.733e-11 
1.29645 	0.10002 	1.501e-04 	9.993e-09 	1.373e-04 	3.962e-12 	3.311e-04 	2.417e-14 	2.740e-11 
1.31655 	0.10157 	1.501e-04 	1.004e-08 	1.373e-04 	3.982e-12 	3.311e-04 	2.430e-14 	2.747e-11 
1.33665 	0.10312 	1.501e-04 	1.009e-08 	1.373e-04 	4.002e-12 	3.311e-04 	2.443e-14 	2.755e-11 
1.35675 	0.10467 	1.501e-04 	1.013e-08 	1.373e-04 	4.022e-12 	3.311e-04 	2.456e-14 	2.762e-11 
1.37685 	0.10622 	1.500e-04 	1.018e-08 	1.373e-04 	4.042e-12 	3.311e-04 	2.469e-14 	2.769e-11 
1.39695 	0.10777 	1.500e-04 	1.023e-08 	1.373e-04 	4.062e-12 	3.311e-04 	2.482e-14 	2.776e-11 
1.41705 	0.10933 	1.500e-04 	1.028e-08 	1.373e-04 	4.082e-12 	3.311e-04 	2.496e-14 	2.783e-11 
1.43715 	0.11088 	1.500e-04 	1.032e-08 	1.373e-04 	4.102e-12 	3.311e-04 	2.509e-14 	2.790e-11 
1.45725 	0.11243 	1.500e-04 	1.037e-08 	1.373e-04 	4.123e-12 	3.311e-04 	2.523e-14 	2.798e-11 
1.47735 	0.11398 	1.500e-04 	1.042e-08 	1.373e-04 	4.144e-12 	3.311e-04 	2.536e-14 	2.805e-11 
1.49745 	0.11553 	1.500e-04 	1.047e-08 	1.373e-04 	4.164e-12 	3.311e-04 	2.550e-14 	2.812e-11 
1.51755 	0.11708 	1.500e-04 	1.052e-08 	1.373e-04 	4.185e-12 	3.311e-04 	2.564e-14 	2.819e-11 
1.53765 	0.11863 	1.500e-04 	1.057e-08 	1.373e-04 	4.206e-12 	3.311e-04 	2.577e-14 	2.827e-11 
1.55775 	0.12018 	1.500e-04 	1.062e-08 	1.373e-04 	4.227e-12 	3.312e-04 	2.591e-14 	2.834e-11 
1.57785 	0.12173 	1.499e-04 	1.067e-08 	1.373e-04 	4.248e-12 	3.312e-04 	2.605e-14 	2.841e-11 
1.59795 	0.12328 	1.499e-04 	1.071e-08 	1.373e-04 	4.269e-12 	3.312e-04 	2.619e-14 	2.849e-11 
1.61805 	0.12483 	1.499e-04 	1.076e-08 	1.373e-04 	4.290e-12 	3.312e-04 	2.633e-14 	2.856e-11 
1.63815 	0.12638 	1.499e-04 	1.082e-08 	1.374e-04 	4.312e-12 	3.312e-04 	2.647e-14 	2.864e-11 
