n = 9.0e+01, Tgas =  35.0, Tdust =  35.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.00140 	1.829e-04 	1.365e-11 	1.411e-04 	2.771e-17 	3.401e-04 	4.883e-20 	3.461e-14 
0.03015 	0.00419 	1.829e-04 	1.376e-11 	1.411e-04 	2.805e-17 	3.401e-04 	4.932e-20 	3.479e-14 
0.05025 	0.00698 	1.829e-04 	1.388e-11 	1.411e-04 	2.839e-17 	3.401e-04 	4.981e-20 	3.497e-14 
0.07035 	0.00977 	1.829e-04 	1.399e-11 	1.411e-04 	2.874e-17 	3.401e-04 	5.031e-20 	3.515e-14 
0.09045 	0.01256 	1.829e-04 	1.411e-11 	1.411e-04 	2.909e-17 	3.401e-04 	5.082e-20 	3.533e-14 
0.11055 	0.01535 	1.829e-04 	1.423e-11 	1.411e-04 	2.945e-17 	3.401e-04 	5.132e-20 	3.552e-14 
0.13065 	0.01814 	1.829e-04 	1.435e-11 	1.411e-04 	2.981e-17 	3.401e-04 	5.184e-20 	3.570e-14 
0.15075 	0.02093 	1.829e-04 	1.447e-11 	1.411e-04 	3.017e-17 	3.401e-04 	5.235e-20 	3.589e-14 
0.17085 	0.02373 	1.829e-04 	1.459e-11 	1.411e-04 	3.054e-17 	3.401e-04 	5.288e-20 	3.608e-14 
0.19095 	0.02652 	1.829e-04 	1.472e-11 	1.411e-04 	3.092e-17 	3.401e-04 	5.341e-20 	3.626e-14 
0.21105 	0.02931 	1.829e-04 	1.484e-11 	1.411e-04 	3.130e-17 	3.401e-04 	5.394e-20 	3.645e-14 
0.23115 	0.03210 	1.829e-04 	1.496e-11 	1.411e-04 	3.168e-17 	3.401e-04 	5.448e-20 	3.664e-14 
0.25125 	0.03489 	1.829e-04 	1.509e-11 	1.411e-04 	3.207e-17 	3.401e-04 	5.502e-20 	3.683e-14 
0.27135 	0.03768 	1.829e-04 	1.522e-11 	1.411e-04 	3.247e-17 	3.401e-04 	5.557e-20 	3.702e-14 
0.29145 	0.04047 	1.829e-04 	1.534e-11 	1.411e-04 	3.287e-17 	3.401e-04 	5.613e-20 	3.722e-14 
0.31155 	0.04326 	1.829e-04 	1.547e-11 	1.411e-04 	3.327e-17 	3.401e-04 	5.669e-20 	3.741e-14 
0.33165 	0.04606 	1.829e-04 	1.560e-11 	1.411e-04 	3.368e-17 	3.401e-04 	5.726e-20 	3.760e-14 
0.35175 	0.04885 	1.829e-04 	1.573e-11 	1.411e-04 	3.409e-17 	3.401e-04 	5.783e-20 	3.780e-14 
0.37185 	0.05164 	1.829e-04 	1.587e-11 	1.411e-04 	3.452e-17 	3.401e-04 	5.841e-20 	3.799e-14 
0.39195 	0.05443 	1.829e-04 	1.600e-11 	1.411e-04 	3.494e-17 	3.401e-04 	5.899e-20 	3.819e-14 
0.41205 	0.05722 	1.829e-04 	1.613e-11 	1.411e-04 	3.537e-17 	3.401e-04 	5.958e-20 	3.839e-14 
0.43215 	0.06001 	1.829e-04 	1.627e-11 	1.411e-04 	3.581e-17 	3.401e-04 	6.017e-20 	3.859e-14 
0.45225 	0.06280 	1.829e-04 	1.641e-11 	1.411e-04 	3.625e-17 	3.401e-04 	6.078e-20 	3.879e-14 
0.47235 	0.06560 	1.828e-04 	1.654e-11 	1.411e-04 	3.670e-17 	3.401e-04 	6.138e-20 	3.899e-14 
0.49245 	0.06839 	1.828e-04 	1.668e-11 	1.411e-04 	3.715e-17 	3.401e-04 	6.200e-20 	3.919e-14 
0.51255 	0.07118 	1.828e-04 	1.682e-11 	1.411e-04 	3.761e-17 	3.401e-04 	6.261e-20 	3.939e-14 
0.53265 	0.07397 	1.828e-04 	1.696e-11 	1.411e-04 	3.808e-17 	3.401e-04 	6.324e-20 	3.959e-14 
0.55275 	0.07676 	1.828e-04 	1.711e-11 	1.411e-04 	3.855e-17 	3.401e-04 	6.387e-20 	3.980e-14 
0.57285 	0.07955 	1.828e-04 	1.725e-11 	1.411e-04 	3.903e-17 	3.401e-04 	6.451e-20 	4.000e-14 
0.59295 	0.08234 	1.828e-04 	1.739e-11 	1.410e-04 	3.951e-17 	3.401e-04 	6.515e-20 	4.021e-14 
0.61305 	0.08513 	1.828e-04 	1.754e-11 	1.410e-04 	4.000e-17 	3.401e-04 	6.580e-20 	4.042e-14 
0.63315 	0.08793 	1.828e-04 	1.769e-11 	1.410e-04 	4.050e-17 	3.401e-04 	6.646e-20 	4.063e-14 
0.65325 	0.09072 	1.828e-04 	1.784e-11 	1.410e-04 	4.100e-17 	3.401e-04 	6.712e-20 	4.084e-14 
0.67335 	0.09351 	1.828e-04 	1.799e-11 	1.410e-04 	4.151e-17 	3.401e-04 	6.779e-20 	4.105e-14 
0.69345 	0.09630 	1.828e-04 	1.814e-11 	1.410e-04 	4.203e-17 	3.401e-04 	6.847e-20 	4.126e-14 
0.71355 	0.09909 	1.828e-04 	1.829e-11 	1.410e-04 	4.255e-17 	3.401e-04 	6.915e-20 	4.147e-14 
0.73365 	0.10188 	1.828e-04 	1.844e-11 	1.410e-04 	4.308e-17 	3.401e-04 	6.984e-20 	4.168e-14 
0.75375 	0.10467 	1.828e-04 	1.860e-11 	1.410e-04 	4.361e-17 	3.400e-04 	7.054e-20 	4.190e-14 
0.77385 	0.10746 	1.828e-04 	1.875e-11 	1.410e-04 	4.416e-17 	3.400e-04 	7.124e-20 	4.211e-14 
0.79395 	0.11026 	1.828e-04 	1.891e-11 	1.410e-04 	4.471e-17 	3.400e-04 	7.195e-20 	4.233e-14 
0.81405 	0.11305 	1.828e-04 	1.907e-11 	1.410e-04 	4.527e-17 	3.400e-04 	7.267e-20 	4.255e-14 
0.83415 	0.11584 	1.828e-04 	1.923e-11 	1.410e-04 	4.583e-17 	3.400e-04 	7.339e-20 	4.276e-14 
0.85425 	0.11863 	1.828e-04 	1.939e-11 	1.410e-04 	4.640e-17 	3.400e-04 	7.413e-20 	4.298e-14 
0.87435 	0.12142 	1.828e-04 	1.956e-11 	1.410e-04 	4.698e-17 	3.400e-04 	7.486e-20 	4.320e-14 
0.89445 	0.12421 	1.828e-04 	1.972e-11 	1.410e-04 	4.757e-17 	3.400e-04 	7.561e-20 	4.343e-14 
0.91455 	0.12700 	1.828e-04 	1.989e-11 	1.410e-04 	4.816e-17 	3.400e-04 	7.636e-20 	4.365e-14 
0.93465 	0.12979 	1.828e-04 	2.005e-11 	1.410e-04 	4.876e-17 	3.400e-04 	7.713e-20 	4.387e-14 
0.95475 	0.13259 	1.828e-04 	2.022e-11 	1.410e-04 	4.937e-17 	3.400e-04 	7.789e-20 	4.410e-14 
0.97485 	0.13538 	1.828e-04 	2.039e-11 	1.410e-04 	4.999e-17 	3.400e-04 	7.867e-20 	4.432e-14 
0.99495 	0.13817 	1.828e-04 	2.056e-11 	1.410e-04 	5.062e-17 	3.400e-04 	7.945e-20 	4.455e-14 
1.01505 	0.14096 	1.828e-04 	2.073e-11 	1.410e-04 	5.125e-17 	3.400e-04 	8.025e-20 	4.478e-14 
1.03515 	0.14375 	1.828e-04 	2.091e-11 	1.410e-04 	5.189e-17 	3.400e-04 	8.105e-20 	4.501e-14 
1.05525 	0.14654 	1.828e-04 	2.108e-11 	1.410e-04 	5.255e-17 	3.400e-04 	8.185e-20 	4.524e-14 
1.07535 	0.14933 	1.828e-04 	2.126e-11 	1.410e-04 	5.320e-17 	3.400e-04 	8.267e-20 	4.547e-14 
1.09545 	0.15213 	1.828e-04 	2.144e-11 	1.410e-04 	5.387e-17 	3.400e-04 	8.349e-20 	4.570e-14 
1.11555 	0.15492 	1.827e-04 	2.162e-11 	1.410e-04 	5.455e-17 	3.400e-04 	8.432e-20 	4.593e-14 
1.13565 	0.15771 	1.827e-04 	2.180e-11 	1.410e-04 	5.523e-17 	3.400e-04 	8.516e-20 	4.617e-14 
1.15575 	0.16050 	1.827e-04 	2.198e-11 	1.410e-04 	5.593e-17 	3.400e-04 	8.601e-20 	4.640e-14 
1.17585 	0.16329 	1.827e-04 	2.217e-11 	1.410e-04 	5.663e-17 	3.400e-04 	8.687e-20 	4.664e-14 
1.19595 	0.16608 	1.827e-04 	2.236e-11 	1.410e-04 	5.734e-17 	3.400e-04 	8.773e-20 	4.688e-14 
1.21605 	0.16887 	1.827e-04 	2.254e-11 	1.410e-04 	5.807e-17 	3.400e-04 	8.861e-20 	4.712e-14 
1.23615 	0.17166 	1.827e-04 	2.273e-11 	1.410e-04 	5.880e-17 	3.400e-04 	8.949e-20 	4.736e-14 
1.25625 	0.17446 	1.827e-04 	2.292e-11 	1.410e-04 	5.954e-17 	3.400e-04 	9.038e-20 	4.760e-14 
1.27635 	0.17725 	1.827e-04 	2.312e-11 	1.410e-04 	6.029e-17 	3.400e-04 	9.128e-20 	4.784e-14 
1.29645 	0.18004 	1.827e-04 	2.331e-11 	1.410e-04 	6.105e-17 	3.400e-04 	9.219e-20 	4.808e-14 
1.31655 	0.18283 	1.827e-04 	2.351e-11 	1.410e-04 	6.182e-17 	3.400e-04 	9.310e-20 	4.833e-14 
1.33665 	0.18562 	1.827e-04 	2.370e-11 	1.410e-04 	6.260e-17 	3.400e-04 	9.403e-20 	4.857e-14 
1.35675 	0.18841 	1.827e-04 	2.390e-11 	1.410e-04 	6.339e-17 	3.400e-04 	9.497e-20 	4.882e-14 
1.37685 	0.19120 	1.827e-04 	2.410e-11 	1.410e-04 	6.419e-17 	3.400e-04 	9.591e-20 	4.907e-14 
1.39695 	0.19399 	1.827e-04 	2.431e-11 	1.410e-04 	6.500e-17 	3.400e-04 	9.686e-20 	4.932e-14 
1.41705 	0.19679 	1.827e-04 	2.451e-11 	1.410e-04 	6.582e-17 	3.400e-04 	9.783e-20 	4.957e-14 
1.43715 	0.19958 	1.827e-04 	2.472e-11 	1.410e-04 	6.665e-17 	3.400e-04 	9.880e-20 	4.982e-14 
1.45725 	0.20237 	1.827e-04 	2.492e-11 	1.410e-04 	6.750e-17 	3.400e-04 	9.978e-20 	5.007e-14 
1.47735 	0.20516 	1.827e-04 	2.513e-11 	1.410e-04 	6.835e-17 	3.400e-04 	1.008e-19 	5.033e-14 
1.49745 	0.20795 	1.827e-04 	2.534e-11 	1.410e-04 	6.922e-17 	3.400e-04 	1.018e-19 	5.058e-14 
1.51755 	0.21074 	1.827e-04 	2.556e-11 	1.410e-04 	7.009e-17 	3.400e-04 	1.028e-19 	5.084e-14 
1.53765 	0.21353 	1.827e-04 	2.577e-11 	1.410e-04 	7.098e-17 	3.400e-04 	1.038e-19 	5.110e-14 
1.55775 	0.21632 	1.827e-04 	2.599e-11 	1.410e-04 	7.188e-17 	3.400e-04 	1.048e-19 	5.136e-14 
1.57785 	0.21912 	1.827e-04 	2.621e-11 	1.410e-04 	7.279e-17 	3.400e-04 	1.059e-19 	5.162e-14 
1.59795 	0.22191 	1.827e-04 	2.643e-11 	1.410e-04 	7.372e-17 	3.400e-04 	1.069e-19 	5.188e-14 
1.61805 	0.22470 	1.827e-04 	2.665e-11 	1.410e-04 	7.465e-17 	3.400e-04 	1.080e-19 	5.214e-14 
1.63815 	0.22749 	1.827e-04 	2.687e-11 	1.410e-04 	7.560e-17 	3.400e-04 	1.091e-19 	5.240e-14 
1.65825 	0.23028 	1.826e-04 	2.710e-11 	1.410e-04 	7.656e-17 	3.400e-04 	1.102e-19 	5.267e-14 
1.67835 	0.23307 	1.826e-04 	2.732e-11 	1.410e-04 	7.753e-17 	3.400e-04 	1.113e-19 	5.293e-14 
1.69845 	0.23586 	1.826e-04 	2.755e-11 	1.410e-04 	7.852e-17 	3.399e-04 	1.124e-19 	5.320e-14 
1.71855 	0.23866 	1.826e-04 	2.778e-11 	1.410e-04 	7.952e-17 	3.399e-04 	1.135e-19 	5.347e-14 
1.73865 	0.24145 	1.826e-04 	2.802e-11 	1.410e-04 	8.053e-17 	3.399e-04 	1.146e-19 	5.374e-14 
1.75875 	0.24424 	1.826e-04 	2.825e-11 	1.410e-04 	8.156e-17 	3.399e-04 	1.157e-19 	5.401e-14 
1.77885 	0.24703 	1.826e-04 	2.849e-11 	1.410e-04 	8.259e-17 	3.399e-04 	1.169e-19 	5.428e-14 
1.79895 	0.24982 	1.826e-04 	2.873e-11 	1.410e-04 	8.365e-17 	3.399e-04 	1.181e-19 	5.456e-14 
1.81905 	0.25261 	1.826e-04 	2.897e-11 	1.410e-04 	8.471e-17 	3.399e-04 	1.192e-19 	5.483e-14 
1.83915 	0.25540 	1.826e-04 	2.921e-11 	1.410e-04 	8.579e-17 	3.399e-04 	1.204e-19 	5.511e-14 
1.85925 	0.25819 	1.826e-04 	2.946e-11 	1.410e-04 	8.689e-17 	3.399e-04 	1.216e-19 	5.539e-14 
1.87935 	0.26099 	1.826e-04 	2.971e-11 	1.410e-04 	8.800e-17 	3.399e-04 	1.228e-19 	5.567e-14 
1.89945 	0.26378 	1.826e-04 	2.996e-11 	1.410e-04 	8.912e-17 	3.399e-04 	1.240e-19 	5.595e-14 
1.91955 	0.26657 	1.826e-04 	3.021e-11 	1.410e-04 	9.026e-17 	3.399e-04 	1.253e-19 	5.623e-14 
1.93965 	0.26936 	1.826e-04 	3.046e-11 	1.410e-04 	9.141e-17 	3.399e-04 	1.265e-19 	5.651e-14 
1.95975 	0.27215 	1.826e-04 	3.072e-11 	1.410e-04 	9.258e-17 	3.399e-04 	1.278e-19 	5.679e-14 
1.97985 	0.27494 	1.826e-04 	3.098e-11 	1.410e-04 	9.376e-17 	3.399e-04 	1.290e-19 	5.708e-14 
1.99995 	0.27773 	1.826e-04 	3.124e-11 	1.410e-04 	9.496e-17 	3.399e-04 	1.303e-19 	5.737e-14 
