n = 1.0e+03, Tgas =  10.5, Tdust =  10.5, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.01551 	1.384e-04 	2.776e-06 	1.381e-04 	1.269e-08 	3.396e-04 	4.752e-12 	1.199e-10 
0.03015 	0.04652 	1.381e-04 	3.036e-06 	1.379e-04 	1.418e-08 	3.396e-04 	5.203e-12 	1.256e-10 
0.05025 	0.07754 	1.378e-04 	3.320e-06 	1.376e-04 	1.585e-08 	3.396e-04 	5.693e-12 	1.316e-10 
0.07035 	0.10855 	1.375e-04 	3.628e-06 	1.373e-04 	1.771e-08 	3.396e-04 	6.226e-12 	1.378e-10 
0.09045 	0.13956 	1.372e-04 	3.964e-06 	1.370e-04 	1.978e-08 	3.397e-04 	6.805e-12 	1.443e-10 
0.11055 	0.17058 	1.368e-04 	4.329e-06 	1.366e-04 	2.209e-08 	3.397e-04 	7.433e-12 	1.511e-10 
0.13065 	0.20159 	1.364e-04 	4.725e-06 	1.362e-04 	2.467e-08 	3.397e-04 	8.114e-12 	1.583e-10 
0.15075 	0.23261 	1.360e-04 	5.155e-06 	1.358e-04 	2.754e-08 	3.397e-04 	8.853e-12 	1.657e-10 
0.17085 	0.26362 	1.355e-04 	5.622e-06 	1.353e-04 	3.074e-08 	3.398e-04 	9.654e-12 	1.735e-10 
0.19095 	0.29464 	1.350e-04 	6.127e-06 	1.348e-04 	3.429e-08 	3.398e-04 	1.052e-11 	1.817e-10 
0.21105 	0.32565 	1.345e-04 	6.674e-06 	1.343e-04 	3.826e-08 	3.398e-04 	1.146e-11 	1.902e-10 
0.23115 	0.35666 	1.339e-04 	7.264e-06 	1.337e-04 	4.266e-08 	3.399e-04 	1.248e-11 	1.992e-10 
0.25125 	0.38768 	1.333e-04 	7.902e-06 	1.331e-04 	4.756e-08 	3.399e-04 	1.358e-11 	2.086e-10 
0.27135 	0.41869 	1.326e-04 	8.589e-06 	1.324e-04 	5.300e-08 	3.399e-04 	1.478e-11 	2.185e-10 
0.29145 	0.44971 	1.319e-04 	9.329e-06 	1.317e-04 	5.904e-08 	3.400e-04 	1.607e-11 	2.289e-10 
0.31155 	0.48072 	1.311e-04 	1.012e-05 	1.309e-04 	6.574e-08 	3.400e-04 	1.747e-11 	2.398e-10 
0.33165 	0.51174 	1.302e-04 	1.098e-05 	1.300e-04 	7.318e-08 	3.401e-04 	1.899e-11 	2.514e-10 
0.35175 	0.54275 	1.293e-04 	1.189e-05 	1.291e-04 	8.142e-08 	3.401e-04 	2.063e-11 	2.636e-10 
0.37185 	0.57376 	1.284e-04 	1.287e-05 	1.282e-04 	9.054e-08 	3.402e-04 	2.241e-11 	2.764e-10 
0.39195 	0.60478 	1.273e-04 	1.391e-05 	1.271e-04 	1.006e-07 	3.402e-04 	2.435e-11 	2.901e-10 
0.41205 	0.63579 	1.262e-04 	1.502e-05 	1.260e-04 	1.118e-07 	3.403e-04 	2.645e-11 	3.045e-10 
0.43215 	0.66681 	1.251e-04 	1.620e-05 	1.249e-04 	1.241e-07 	3.404e-04 	2.874e-11 	3.198e-10 
0.45225 	0.69782 	1.238e-04 	1.745e-05 	1.236e-04 	1.377e-07 	3.404e-04 	3.122e-11 	3.362e-10 
0.47235 	0.72884 	1.225e-04 	1.877e-05 	1.223e-04 	1.527e-07 	3.405e-04 	3.393e-11 	3.535e-10 
0.49245 	0.75985 	1.211e-04 	2.017e-05 	1.209e-04 	1.692e-07 	3.406e-04 	3.688e-11 	3.721e-10 
0.51255 	0.79086 	1.197e-04 	2.164e-05 	1.195e-04 	1.874e-07 	3.406e-04 	4.011e-11 	3.919e-10 
0.53265 	0.82188 	1.182e-04 	2.318e-05 	1.179e-04 	2.074e-07 	3.407e-04 	4.363e-11 	4.131e-10 
0.55275 	0.85289 	1.165e-04 	2.480e-05 	1.163e-04 	2.293e-07 	3.408e-04 	4.749e-11 	4.359e-10 
0.57285 	0.88391 	1.149e-04 	2.649e-05 	1.147e-04 	2.534e-07 	3.409e-04 	5.172e-11 	4.603e-10 
0.59295 	0.91492 	1.131e-04 	2.825e-05 	1.129e-04 	2.798e-07 	3.410e-04 	5.637e-11 	4.866e-10 
0.61305 	0.94594 	1.113e-04 	3.008e-05 	1.111e-04 	3.086e-07 	3.411e-04 	6.148e-11 	5.149e-10 
0.63315 	0.97695 	1.094e-04 	3.198e-05 	1.092e-04 	3.402e-07 	3.412e-04 	6.711e-11 	5.454e-10 
0.65325 	1.00796 	1.075e-04 	3.394e-05 	1.072e-04 	3.746e-07 	3.413e-04 	7.332e-11 	5.784e-10 
0.67335 	1.03898 	1.054e-04 	3.596e-05 	1.052e-04 	4.121e-07 	3.414e-04 	8.019e-11 	6.140e-10 
0.69345 	1.06999 	1.034e-04 	3.804e-05 	1.031e-04 	4.530e-07 	3.414e-04 	8.779e-11 	6.527e-10 
0.71355 	1.10101 	1.012e-04 	4.017e-05 	1.010e-04 	4.975e-07 	3.415e-04 	9.622e-11 	6.945e-10 
0.73365 	1.13202 	9.904e-05 	4.234e-05 	9.883e-05 	5.457e-07 	3.416e-04 	1.056e-10 	7.400e-10 
0.75375 	1.16304 	9.682e-05 	4.456e-05 	9.660e-05 	5.981e-07 	3.417e-04 	1.160e-10 	7.894e-10 
0.77385 	1.19405 	9.455e-05 	4.682e-05 	9.433e-05 	6.548e-07 	3.418e-04 	1.276e-10 	8.430e-10 
0.79395 	1.22506 	9.224e-05 	4.910e-05 	9.202e-05 	7.162e-07 	3.419e-04 	1.405e-10 	9.015e-10 
0.81405 	1.25608 	8.990e-05 	5.142e-05 	8.969e-05 	7.825e-07 	3.420e-04 	1.550e-10 	9.651e-10 
0.83415 	1.28709 	8.754e-05 	5.375e-05 	8.732e-05 	8.540e-07 	3.420e-04 	1.712e-10 	1.035e-09 
0.85425 	1.31811 	8.516e-05 	5.610e-05 	8.494e-05 	9.311e-07 	3.421e-04 	1.893e-10 	1.110e-09 
0.87435 	1.34912 	8.276e-05 	5.845e-05 	8.255e-05 	1.014e-06 	3.422e-04 	2.096e-10 	1.193e-09 
0.89445 	1.38014 	8.036e-05 	6.080e-05 	8.014e-05 	1.103e-06 	3.422e-04 	2.325e-10 	1.283e-09 
0.91455 	1.41115 	7.795e-05 	6.315e-05 	7.773e-05 	1.199e-06 	3.423e-04 	2.582e-10 	1.382e-09 
0.93465 	1.44216 	7.554e-05 	6.549e-05 	7.532e-05 	1.301e-06 	3.423e-04 	2.871e-10 	1.490e-09 
0.95475 	1.47318 	7.314e-05 	6.782e-05 	7.292e-05 	1.411e-06 	3.424e-04 	3.197e-10 	1.608e-09 
0.97485 	1.50419 	7.075e-05 	7.012e-05 	7.053e-05 	1.528e-06 	3.424e-04 	3.565e-10 	1.738e-09 
0.99495 	1.53521 	6.837e-05 	7.239e-05 	6.816e-05 	1.654e-06 	3.424e-04 	3.980e-10 	1.880e-09 
1.01505 	1.56622 	6.602e-05 	7.464e-05 	6.580e-05 	1.787e-06 	3.424e-04 	4.450e-10 	2.035e-09 
1.03515 	1.59724 	6.369e-05 	7.685e-05 	6.348e-05 	1.930e-06 	3.424e-04 	4.982e-10 	2.206e-09 
1.05525 	1.62825 	6.139e-05 	7.901e-05 	6.117e-05 	2.081e-06 	3.423e-04 	5.583e-10 	2.393e-09 
1.07535 	1.65927 	5.912e-05 	8.114e-05 	5.890e-05 	2.242e-06 	3.423e-04 	6.266e-10 	2.598e-09 
1.09545 	1.69028 	5.688e-05 	8.321e-05 	5.667e-05 	2.413e-06 	3.422e-04 	7.039e-10 	2.824e-09 
1.11555 	1.72129 	5.468e-05 	8.523e-05 	5.447e-05 	2.594e-06 	3.421e-04 	7.917e-10 	3.071e-09 
1.13565 	1.75231 	5.252e-05 	8.719e-05 	5.232e-05 	2.786e-06 	3.420e-04 	8.915e-10 	3.344e-09 
1.15575 	1.78332 	5.041e-05 	8.910e-05 	5.020e-05 	2.990e-06 	3.419e-04 	1.005e-09 	3.643e-09 
1.17585 	1.81434 	4.834e-05 	9.094e-05 	4.813e-05 	3.205e-06 	3.418e-04 	1.134e-09 	3.973e-09 
1.19595 	1.84535 	4.632e-05 	9.272e-05 	4.611e-05 	3.433e-06 	3.416e-04 	1.280e-09 	4.335e-09 
1.21605 	1.87637 	4.434e-05 	9.443e-05 	4.414e-05 	3.673e-06 	3.414e-04 	1.447e-09 	4.734e-09 
1.23615 	1.90738 	4.242e-05 	9.607e-05 	4.222e-05 	3.927e-06 	3.412e-04 	1.637e-09 	5.174e-09 
1.25625 	1.93839 	4.054e-05 	9.764e-05 	4.035e-05 	4.194e-06 	3.410e-04 	1.853e-09 	5.658e-09 
1.27635 	1.96941 	3.872e-05 	9.914e-05 	3.852e-05 	4.477e-06 	3.408e-04 	2.100e-09 	6.192e-09 
