n = 1.0e+03, Tgas =   7.5, Tdust =   7.5, Go =  10.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.01551 	1.396e-04 	3.422e-07 	1.394e-04 	1.660e-10 	3.367e-04 	2.521e-14 	1.144e-11 
0.03015 	0.04652 	1.396e-04 	3.754e-07 	1.394e-04 	1.848e-10 	3.367e-04 	2.803e-14 	1.205e-11 
0.05025 	0.07754 	1.396e-04 	4.119e-07 	1.394e-04 	2.057e-10 	3.367e-04 	3.117e-14 	1.270e-11 
0.07035 	0.10855 	1.395e-04 	4.518e-07 	1.393e-04 	2.290e-10 	3.367e-04 	3.464e-14 	1.338e-11 
0.09045 	0.13956 	1.395e-04 	4.956e-07 	1.393e-04 	2.550e-10 	3.367e-04 	3.851e-14 	1.409e-11 
0.11055 	0.17058 	1.395e-04 	5.436e-07 	1.393e-04 	2.840e-10 	3.368e-04 	4.279e-14 	1.485e-11 
0.13065 	0.20159 	1.394e-04 	5.962e-07 	1.392e-04 	3.163e-10 	3.368e-04 	4.755e-14 	1.564e-11 
0.15075 	0.23261 	1.394e-04 	6.539e-07 	1.392e-04 	3.524e-10 	3.368e-04 	5.283e-14 	1.647e-11 
0.17085 	0.26362 	1.393e-04 	7.171e-07 	1.391e-04 	3.927e-10 	3.368e-04 	5.869e-14 	1.735e-11 
0.19095 	0.29464 	1.392e-04 	7.863e-07 	1.390e-04 	4.377e-10 	3.368e-04 	6.519e-14 	1.827e-11 
0.21105 	0.32565 	1.392e-04 	8.622e-07 	1.390e-04 	4.879e-10 	3.368e-04 	7.240e-14 	1.925e-11 
0.23115 	0.35666 	1.391e-04 	9.452e-07 	1.389e-04 	5.439e-10 	3.369e-04 	8.039e-14 	2.027e-11 
0.25125 	0.38768 	1.390e-04 	1.036e-06 	1.388e-04 	6.065e-10 	3.369e-04 	8.925e-14 	2.135e-11 
0.27135 	0.41869 	1.389e-04 	1.136e-06 	1.387e-04 	6.763e-10 	3.369e-04 	9.907e-14 	2.248e-11 
0.29145 	0.44971 	1.388e-04 	1.245e-06 	1.386e-04 	7.543e-10 	3.369e-04 	1.099e-13 	2.367e-11 
0.31155 	0.48072 	1.387e-04 	1.364e-06 	1.385e-04 	8.413e-10 	3.369e-04 	1.220e-13 	2.493e-11 
0.33165 	0.51174 	1.386e-04 	1.494e-06 	1.384e-04 	9.386e-10 	3.369e-04 	1.353e-13 	2.625e-11 
0.35175 	0.54275 	1.384e-04 	1.637e-06 	1.382e-04 	1.047e-09 	3.370e-04 	1.501e-13 	2.765e-11 
