n = 1.0e+03, Tgas =   7.5, Tdust =   7.5, Go = 1000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.01551 	1.365e-04 	3.228e-09 	1.359e-04 	2.057e-13 	3.277e-04 	2.726e-18 	8.125e-14 
0.03015 	0.04652 	1.365e-04 	3.549e-09 	1.359e-04 	2.287e-13 	3.277e-04 	3.058e-18 	8.697e-14 
0.05025 	0.07754 	1.365e-04 	3.903e-09 	1.359e-04 	2.540e-13 	3.277e-04 	3.429e-18 	9.304e-14 
0.07035 	0.10855 	1.365e-04 	4.291e-09 	1.359e-04 	2.818e-13 	3.277e-04 	3.841e-18 	9.948e-14 
0.09045 	0.13956 	1.365e-04 	4.718e-09 	1.360e-04 	3.124e-13 	3.278e-04 	4.301e-18 	1.063e-13 
0.11055 	0.17058 	1.365e-04 	5.188e-09 	1.360e-04 	3.459e-13 	3.278e-04 	4.814e-18 	1.136e-13 
0.13065 	0.20159 	1.365e-04 	5.704e-09 	1.360e-04 	3.827e-13 	3.279e-04 	5.384e-18 	1.212e-13 
0.15075 	0.23261 	1.365e-04 	6.271e-09 	1.361e-04 	4.230e-13 	3.280e-04 	6.020e-18 	1.294e-13 
0.17085 	0.26362 	1.366e-04 	6.895e-09 	1.361e-04 	4.672e-13 	3.281e-04 	6.727e-18 	1.380e-13 
0.19095 	0.29464 	1.366e-04 	7.580e-09 	1.362e-04 	5.157e-13 	3.283e-04 	7.514e-18 	1.471e-13 
0.21105 	0.32565 	1.367e-04 	8.333e-09 	1.362e-04 	5.689e-13 	3.284e-04 	8.389e-18 	1.567e-13 
0.23115 	0.35666 	1.367e-04 	9.161e-09 	1.363e-04 	6.271e-13 	3.285e-04 	9.364e-18 	1.669e-13 
0.25125 	0.38768 	1.368e-04 	1.007e-08 	1.364e-04 	6.909e-13 	3.287e-04 	1.045e-17 	1.778e-13 
0.27135 	0.41869 	1.368e-04 	1.107e-08 	1.364e-04 	7.607e-13 	3.289e-04 	1.165e-17 	1.892e-13 
0.29145 	0.44971 	1.369e-04 	1.217e-08 	1.365e-04 	8.372e-13 	3.290e-04 	1.299e-17 	2.013e-13 
0.31155 	0.48072 	1.370e-04 	1.337e-08 	1.366e-04 	9.209e-13 	3.292e-04 	1.448e-17 	2.141e-13 
0.33165 	0.51174 	1.370e-04 	1.470e-08 	1.366e-04 	1.013e-12 	3.294e-04 	1.614e-17 	2.276e-13 
0.35175 	0.54275 	1.371e-04 	1.615e-08 	1.367e-04 	1.113e-12 	3.296e-04 	1.799e-17 	2.419e-13 
0.37185 	0.57376 	1.372e-04 	1.775e-08 	1.368e-04 	1.223e-12 	3.298e-04 	2.004e-17 	2.570e-13 
0.39195 	0.60478 	1.372e-04 	1.951e-08 	1.369e-04 	1.343e-12 	3.300e-04 	2.232e-17 	2.729e-13 
0.41205 	0.63579 	1.373e-04 	2.144e-08 	1.370e-04 	1.474e-12 	3.302e-04 	2.485e-17 	2.898e-13 
0.43215 	0.66681 	1.374e-04 	2.356e-08 	1.371e-04 	1.618e-12 	3.304e-04 	2.767e-17 	3.076e-13 
0.45225 	0.69782 	1.375e-04 	2.588e-08 	1.371e-04 	1.775e-12 	3.306e-04 	3.081e-17 	3.264e-13 
0.47235 	0.72884 	1.375e-04 	2.844e-08 	1.372e-04 	1.946e-12 	3.308e-04 	3.429e-17 	3.462e-13 
0.49245 	0.75985 	1.376e-04 	3.125e-08 	1.373e-04 	2.134e-12 	3.310e-04 	3.817e-17 	3.672e-13 
0.51255 	0.79086 	1.377e-04 	3.433e-08 	1.374e-04 	2.339e-12 	3.312e-04 	4.248e-17 	3.893e-13 
0.53265 	0.82188 	1.378e-04 	3.772e-08 	1.375e-04 	2.563e-12 	3.314e-04 	4.728e-17 	4.127e-13 
0.55275 	0.85289 	1.378e-04 	4.143e-08 	1.375e-04 	2.809e-12 	3.315e-04 	5.261e-17 	4.373e-13 
0.57285 	0.88391 	1.379e-04 	4.552e-08 	1.376e-04 	3.076e-12 	3.317e-04 	5.854e-17 	4.633e-13 
0.59295 	0.91492 	1.380e-04 	5.000e-08 	1.377e-04 	3.369e-12 	3.319e-04 	6.513e-17 	4.908e-13 
0.61305 	0.94594 	1.380e-04 	5.492e-08 	1.378e-04 	3.689e-12 	3.321e-04 	7.247e-17 	5.198e-13 
0.63315 	0.97695 	1.381e-04 	6.032e-08 	1.378e-04 	4.038e-12 	3.323e-04 	8.063e-17 	5.503e-13 
0.65325 	1.00796 	1.382e-04 	6.626e-08 	1.379e-04 	4.419e-12 	3.325e-04 	8.970e-17 	5.826e-13 
0.67335 	1.03898 	1.382e-04 	7.277e-08 	1.380e-04 	4.836e-12 	3.326e-04 	9.980e-17 	6.166e-13 
0.69345 	1.06999 	1.383e-04 	7.992e-08 	1.380e-04 	5.291e-12 	3.328e-04 	1.110e-16 	6.525e-13 
0.71355 	1.10101 	1.384e-04 	8.777e-08 	1.381e-04 	5.788e-12 	3.330e-04 	1.235e-16 	6.904e-13 
0.73365 	1.13202 	1.384e-04 	9.639e-08 	1.382e-04 	6.330e-12 	3.331e-04 	1.374e-16 	7.303e-13 
0.75375 	1.16304 	1.385e-04 	1.059e-07 	1.382e-04 	6.923e-12 	3.333e-04 	1.529e-16 	7.725e-13 
0.77385 	1.19405 	1.385e-04 	1.162e-07 	1.383e-04 	7.570e-12 	3.334e-04 	1.701e-16 	8.169e-13 
0.79395 	1.22506 	1.386e-04 	1.276e-07 	1.383e-04 	8.277e-12 	3.336e-04 	1.892e-16 	8.638e-13 
0.81405 	1.25608 	1.386e-04 	1.401e-07 	1.384e-04 	9.049e-12 	3.337e-04 	2.106e-16 	9.132e-13 
0.83415 	1.28709 	1.387e-04 	1.539e-07 	1.384e-04 	9.892e-12 	3.339e-04 	2.343e-16 	9.653e-13 
0.85425 	1.31811 	1.387e-04 	1.689e-07 	1.384e-04 	1.081e-11 	3.340e-04 	2.607e-16 	1.020e-12 
0.87435 	1.34912 	1.387e-04 	1.855e-07 	1.385e-04 	1.182e-11 	3.341e-04 	2.900e-16 	1.078e-12 
0.89445 	1.38014 	1.388e-04 	2.036e-07 	1.385e-04 	1.292e-11 	3.342e-04 	3.227e-16 	1.139e-12 
0.91455 	1.41115 	1.388e-04 	2.235e-07 	1.386e-04 	1.412e-11 	3.344e-04 	3.591e-16 	1.204e-12 
0.93465 	1.44216 	1.388e-04 	2.454e-07 	1.386e-04 	1.543e-11 	3.345e-04 	3.996e-16 	1.272e-12 
0.95475 	1.47318 	1.388e-04 	2.693e-07 	1.386e-04 	1.686e-11 	3.346e-04 	4.447e-16 	1.344e-12 
0.97485 	1.50419 	1.389e-04 	2.956e-07 	1.386e-04 	1.842e-11 	3.347e-04 	4.948e-16 	1.420e-12 
0.99495 	1.53521 	1.389e-04 	3.245e-07 	1.386e-04 	2.013e-11 	3.348e-04 	5.507e-16 	1.499e-12 
1.01505 	1.56622 	1.389e-04 	3.561e-07 	1.387e-04 	2.200e-11 	3.349e-04 	6.129e-16 	1.584e-12 
1.03515 	1.59724 	1.389e-04 	3.908e-07 	1.387e-04 	2.404e-11 	3.350e-04 	6.821e-16 	1.672e-12 
1.05525 	1.62825 	1.389e-04 	4.289e-07 	1.387e-04 	2.628e-11 	3.351e-04 	7.592e-16 	1.766e-12 
1.07535 	1.65927 	1.389e-04 	4.706e-07 	1.387e-04 	2.872e-11 	3.352e-04 	8.450e-16 	1.865e-12 
1.09545 	1.69028 	1.389e-04 	5.163e-07 	1.387e-04 	3.139e-11 	3.353e-04 	9.406e-16 	1.969e-12 
1.11555 	1.72129 	1.389e-04 	5.665e-07 	1.386e-04 	3.431e-11 	3.353e-04 	1.047e-15 	2.079e-12 
1.13565 	1.75231 	1.388e-04 	6.215e-07 	1.386e-04 	3.751e-11 	3.354e-04 	1.165e-15 	2.196e-12 
1.15575 	1.78332 	1.388e-04 	6.817e-07 	1.386e-04 	4.101e-11 	3.355e-04 	1.297e-15 	2.318e-12 
1.17585 	1.81434 	1.388e-04 	7.477e-07 	1.386e-04 	4.484e-11 	3.356e-04 	1.444e-15 	2.448e-12 
1.19595 	1.84535 	1.387e-04 	8.201e-07 	1.385e-04 	4.904e-11 	3.357e-04 	1.608e-15 	2.584e-12 
1.21605 	1.87637 	1.387e-04 	8.993e-07 	1.385e-04 	5.363e-11 	3.357e-04 	1.790e-15 	2.728e-12 
1.23615 	1.90738 	1.386e-04 	9.861e-07 	1.384e-04 	5.867e-11 	3.358e-04 	1.993e-15 	2.881e-12 
1.25625 	1.93839 	1.386e-04 	1.081e-06 	1.383e-04 	6.418e-11 	3.359e-04 	2.219e-15 	3.041e-12 
1.27635 	1.96941 	1.385e-04 	1.185e-06 	1.383e-04 	7.023e-11 	3.359e-04 	2.471e-15 	3.211e-12 
1.29645 	2.00042 	1.384e-04 	1.299e-06 	1.382e-04 	7.685e-11 	3.360e-04 	2.751e-15 	3.391e-12 
1.31655 	2.03144 	1.383e-04 	1.424e-06 	1.381e-04 	8.412e-11 	3.360e-04 	3.064e-15 	3.580e-12 
1.33665 	2.06245 	1.382e-04 	1.560e-06 	1.380e-04 	9.209e-11 	3.361e-04 	3.412e-15 	3.781e-12 
1.35675 	2.09347 	1.381e-04 	1.709e-06 	1.379e-04 	1.008e-10 	3.362e-04 	3.800e-15 	3.993e-12 
1.37685 	2.12448 	1.379e-04 	1.872e-06 	1.377e-04 	1.104e-10 	3.362e-04 	4.232e-15 	4.217e-12 
1.39695 	2.15549 	1.378e-04 	2.050e-06 	1.376e-04 	1.210e-10 	3.363e-04 	4.713e-15 	4.455e-12 
1.41705 	2.18651 	1.376e-04 	2.244e-06 	1.374e-04 	1.325e-10 	3.363e-04 	5.249e-15 	4.706e-12 
1.43715 	2.21752 	1.374e-04 	2.456e-06 	1.372e-04 	1.453e-10 	3.364e-04 	5.847e-15 	4.972e-12 
1.45725 	2.24854 	1.372e-04 	2.688e-06 	1.370e-04 	1.592e-10 	3.364e-04 	6.513e-15 	5.253e-12 
1.47735 	2.27955 	1.370e-04 	2.940e-06 	1.368e-04 	1.746e-10 	3.365e-04 	7.256e-15 	5.552e-12 
1.49745 	2.31057 	1.367e-04 	3.215e-06 	1.365e-04 	1.914e-10 	3.366e-04 	8.084e-15 	5.868e-12 
1.51755 	2.34158 	1.364e-04 	3.515e-06 	1.362e-04 	2.100e-10 	3.366e-04 	9.007e-15 	6.204e-12 
1.53765 	2.37259 	1.361e-04 	3.841e-06 	1.359e-04 	2.304e-10 	3.367e-04 	1.004e-14 	6.560e-12 
1.55775 	2.40361 	1.358e-04 	4.196e-06 	1.356e-04 	2.529e-10 	3.367e-04 	1.118e-14 	6.939e-12 
1.57785 	2.43462 	1.354e-04 	4.581e-06 	1.352e-04 	2.776e-10 	3.368e-04 	1.247e-14 	7.341e-12 
1.59795 	2.46564 	1.350e-04 	5.000e-06 	1.348e-04 	3.048e-10 	3.368e-04 	1.389e-14 	7.769e-12 
1.61805 	2.49665 	1.346e-04 	5.454e-06 	1.344e-04 	3.347e-10 	3.369e-04 	1.549e-14 	8.225e-12 
1.63815 	2.52767 	1.341e-04 	5.946e-06 	1.339e-04 	3.677e-10 	3.370e-04 	1.727e-14 	8.710e-12 
1.65825 	2.55868 	1.336e-04 	6.478e-06 	1.334e-04 	4.040e-10 	3.370e-04 	1.926e-14 	9.227e-12 
1.67835 	2.58969 	1.331e-04 	7.054e-06 	1.329e-04 	4.440e-10 	3.371e-04 	2.147e-14 	9.779e-12 
1.69845 	2.62071 	1.325e-04 	7.676e-06 	1.323e-04 	4.881e-10 	3.372e-04 	2.395e-14 	1.037e-11 
1.71855 	2.65172 	1.319e-04 	8.347e-06 	1.317e-04 	5.366e-10 	3.372e-04 	2.673e-14 	1.100e-11 
1.73865 	2.68274 	1.312e-04 	9.069e-06 	1.310e-04 	5.901e-10 	3.373e-04 	2.982e-14 	1.167e-11 
1.75875 	2.71375 	1.304e-04 	9.845e-06 	1.302e-04 	6.491e-10 	3.374e-04 	3.329e-14 	1.240e-11 
