n = 1.0e+04, Tgas =  12.0, Tdust =  12.0, Go =  10.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15507 	1.378e-04 	3.882e-06 	1.377e-04 	2.032e-08 	3.376e-04 	2.638e-12 	1.714e-11 
0.03015 	0.46521 	1.325e-04 	9.147e-06 	1.325e-04 	6.061e-08 	3.378e-04 	6.029e-12 	2.747e-11 
0.05025 	0.77536 	1.217e-04 	1.981e-05 	1.217e-04 	1.739e-07 	3.383e-04 	1.283e-11 	4.462e-11 
0.07035 	1.08550 	1.038e-04 	3.739e-05 	1.038e-04 	4.655e-07 	3.388e-04 	2.650e-11 	7.708e-11 
0.09045 	1.39564 	8.026e-05 	5.950e-05 	8.023e-05 	1.130e-06 	3.386e-04 	5.730e-11 	1.486e-10 
0.11055 	1.70579 	5.587e-05 	7.995e-05 	5.585e-05 	2.428e-06 	3.360e-04 	1.413e-10 	3.252e-10 
0.13065 	2.01593 	3.490e-05 	9.274e-05 	3.488e-05 	4.545e-06 	3.290e-04 	4.222e-10 	8.033e-10 
0.15075 	2.32607 	1.940e-05 	9.561e-05 	1.938e-05 	7.339e-06 	3.171e-04 	1.522e-09 	2.210e-09 
0.17085 	2.63622 	9.486e-06 	9.067e-05 	9.467e-06 	1.033e-05 	3.025e-04 	6.074e-09 	6.570e-09 
0.19095 	2.94636 	4.031e-06 	8.085e-05 	4.013e-06 	1.331e-05 	2.863e-04 	2.280e-08 	1.969e-08 
0.21105 	3.25650 	1.459e-06 	6.443e-05 	1.445e-06 	1.711e-05 	2.621e-04 	7.055e-08 	5.494e-08 
0.23115 	3.56664 	4.517e-07 	3.762e-05 	4.380e-07 	2.285e-05 	2.128e-04 	1.907e-07 	1.346e-07 
0.25125 	3.87679 	1.853e-07 	1.541e-05 	1.696e-07 	2.746e-05 	1.291e-04 	4.041e-07 	2.397e-07 
0.27135 	4.18693 	1.534e-07 	9.700e-06 	1.344e-07 	2.856e-05 	5.003e-05 	3.546e-07 	2.434e-07 
0.29145 	4.49707 	1.773e-07 	1.291e-05 	1.574e-07 	2.779e-05 	1.944e-05 	1.243e-07 	1.641e-07 
0.31155 	4.80722 	2.127e-07 	2.065e-05 	1.939e-07 	2.609e-05 	9.658e-06 	3.053e-08 	1.001e-07 
0.33165 	5.11736 	2.448e-07 	2.933e-05 	2.274e-07 	2.418e-05 	5.600e-06 	7.862e-09 	6.055e-08 
0.35175 	5.42750 	2.690e-07 	3.672e-05 	2.526e-07 	2.256e-05 	3.510e-06 	2.381e-09 	3.738e-08 
0.37185 	5.73765 	2.844e-07 	4.162e-05 	2.686e-07 	2.144e-05 	2.303e-06 	8.648e-10 	2.413e-08 
0.39195 	6.04779 	2.912e-07 	4.337e-05 	2.758e-07 	2.098e-05 	1.569e-06 	3.817e-10 	1.664e-08 
0.41205 	6.35793 	2.904e-07 	4.183e-05 	2.750e-07 	2.119e-05 	1.112e-06 	2.062e-10 	1.243e-08 
0.43215 	6.66807 	2.837e-07 	3.763e-05 	2.682e-07 	2.194e-05 	8.193e-07 	1.351e-10 	1.005e-08 
0.45225 	6.97822 	2.736e-07 	3.190e-05 	2.576e-07 	2.300e-05 	6.279e-07 	1.042e-10 	8.684e-09 
0.47235 	7.28836 	2.624e-07 	2.579e-05 	2.458e-07 	2.412e-05 	4.999e-07 	9.131e-11 	7.879e-09 
0.49245 	7.59850 	2.518e-07 	2.010e-05 	2.344e-07 	2.515e-05 	4.134e-07 	8.773e-11 	7.392e-09 
0.51255 	7.90865 	2.426e-07 	1.527e-05 	2.245e-07 	2.601e-05 	3.548e-07 	8.965e-11 	7.091e-09 
