n = 8.0e+03, Tgas =  20.0, Tdust =  20.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.12406 	1.235e-04 	1.749e-05 	1.235e-04 	8.249e-07 	3.437e-04 	5.924e-11 	1.052e-10 
0.03015 	0.37217 	1.094e-04 	2.952e-05 	1.093e-04 	1.725e-06 	3.420e-04 	9.412e-11 	1.476e-10 
0.05025 	0.62029 	9.038e-05 	4.417e-05 	9.035e-05 	3.324e-06 	3.383e-04 	1.598e-10 	2.275e-10 
0.07035 	0.86840 	6.897e-05 	5.803e-05 	6.894e-05 	5.804e-06 	3.313e-04 	3.058e-10 	3.940e-10 
0.09045 	1.11651 	4.845e-05 	6.759e-05 	4.843e-05 	9.119e-06 	3.209e-04 	6.827e-10 	7.685e-10 
0.11055 	1.36463 	3.135e-05 	7.148e-05 	3.133e-05 	1.291e-05 	3.081e-04 	1.776e-09 	1.671e-09 
0.13065 	1.61274 	1.872e-05 	7.077e-05 	1.870e-05 	1.661e-05 	2.948e-04 	5.145e-09 	3.973e-09 
0.15075 	1.86086 	1.031e-05 	6.748e-05 	1.030e-05 	1.978e-05 	2.827e-04 	1.530e-08 	1.001e-08 
0.17085 	2.10897 	5.210e-06 	6.256e-05 	5.194e-06 	2.247e-05 	2.703e-04 	4.229e-08 	2.560e-08 
0.19095 	2.35709 	2.358e-06 	5.457e-05 	2.344e-06 	2.543e-05 	2.504e-04 	1.016e-07 	6.390e-08 
0.21105 	2.60520 	9.395e-07 	4.093e-05 	9.257e-07 	2.961e-05 	2.037e-04 	2.096e-07 	1.451e-07 
0.23115 	2.85332 	4.067e-07 	2.560e-05 	3.908e-07 	3.404e-05 	1.180e-04 	3.239e-07 	2.344e-07 
0.25125 	3.10143 	2.883e-07 	1.801e-05 	2.695e-07 	3.615e-05 	5.139e-05 	2.760e-07 	2.208e-07 
