n = 1.1e+04, Tgas =  20.0, Tdust =  20.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.17058 	1.147e-04 	2.416e-05 	1.147e-04 	1.576e-06 	3.419e-04 	7.296e-11 	1.005e-10 
0.03015 	0.51174 	8.889e-05 	4.258e-05 	8.887e-05 	3.859e-06 	3.353e-04 	1.418e-10 	1.778e-10 
0.05025 	0.85289 	5.859e-05 	5.777e-05 	5.857e-05 	7.732e-06 	3.211e-04 	3.510e-10 	3.996e-10 
0.07035 	1.19405 	3.260e-05 	6.262e-05 	3.258e-05 	1.252e-05 	3.005e-04 	1.223e-09 	1.145e-09 
0.09045 	1.53521 	1.546e-05 	5.948e-05 	1.545e-05 	1.676e-05 	2.804e-04 	5.550e-09 	3.966e-09 
0.11055 	1.87637 	6.330e-06 	5.406e-05 	6.317e-06 	1.967e-05 	2.645e-04 	2.526e-08 	1.488e-08 
0.13065 	2.21752 	2.184e-06 	4.641e-05 	2.171e-06 	2.205e-05 	2.435e-04 	8.927e-08 	5.347e-08 
0.15075 	2.55868 	5.956e-07 	3.073e-05 	5.835e-07 	2.575e-05 	1.764e-04 	2.334e-07 	1.601e-07 
0.17085 	2.89984 	2.341e-07 	1.625e-05 	2.182e-07 	2.896e-05 	6.207e-05 	3.002e-07 	2.197e-07 
0.19095 	3.24099 	2.074e-07 	1.349e-05 	1.889e-07 	2.950e-05 	1.913e-05 	1.387e-07 	1.428e-07 
0.21105 	3.58215 	2.227e-07 	1.546e-05 	2.043e-07 	2.898e-05 	7.600e-06 	4.062e-08 	7.989e-08 
0.23115 	3.92331 	2.411e-07 	1.924e-05 	2.235e-07 	2.806e-05 	3.659e-06 	1.043e-08 	4.438e-08 
0.25125 	4.26447 	2.554e-07 	2.310e-05 	2.387e-07 	2.709e-05 	2.007e-06 	2.886e-09 	2.549e-08 
0.27135 	4.60562 	2.640e-07 	2.570e-05 	2.479e-07 	2.636e-05 	1.206e-06 	9.566e-10 	1.557e-08 
0.29145 	4.94678 	2.664e-07 	2.608e-05 	2.505e-07 	2.608e-05 	7.810e-07 	4.018e-10 	1.040e-08 
0.31155 	5.28794 	2.630e-07 	2.407e-05 	2.470e-07 	2.630e-05 	5.427e-07 	2.185e-10 	7.709e-09 
0.33165 	5.62910 	2.558e-07 	2.038e-05 	2.395e-07 	2.687e-05 	4.045e-07 	1.510e-10 	6.297e-09 
0.35175 	5.97025 	2.475e-07 	1.613e-05 	2.305e-07 	2.757e-05 	3.221e-07 	1.257e-10 	5.549e-09 
