n = 1.3e+04, Tgas =  40.0, Tdust =  40.0, Go =  10.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.20159 	1.407e-04 	3.150e-06 	1.407e-04 	3.918e-08 	3.471e-04 	8.379e-12 	2.924e-11 
0.03015 	0.60478 	1.341e-04 	9.683e-06 	1.340e-04 	1.598e-07 	3.472e-04 	2.187e-11 	4.862e-11 
0.05025 	1.00796 	1.177e-04 	2.575e-05 	1.177e-04 	5.994e-07 	3.473e-04 	5.271e-11 	8.322e-11 
0.07035 	1.41115 	8.917e-05 	5.329e-05 	8.915e-05 	1.922e-06 	3.469e-04 	1.378e-10 	1.668e-10 
0.09045 	1.81434 	5.635e-05 	8.351e-05 	5.633e-05 	4.999e-06 	3.449e-04 	4.548e-10 	4.217e-10 
0.11055 	2.21752 	2.965e-05 	1.053e-04 	2.964e-05 	1.037e-05 	3.405e-04 	1.888e-09 	1.321e-09 
0.13065 	2.62071 	1.295e-05 	1.154e-04 	1.293e-05 	1.732e-05 	3.341e-04 	8.188e-09 	4.752e-09 
0.15075 	3.02389 	4.731e-06 	1.159e-04 	4.721e-06 	2.523e-05 	3.264e-04 	2.745e-08 	1.698e-08 
0.17085 	3.42708 	1.559e-06 	1.056e-04 	1.551e-06 	3.878e-05 	3.129e-04 	6.086e-08 	5.166e-08 
0.19095 	3.83027 	5.381e-07 	7.762e-05 	5.305e-07 	6.778e-05 	2.837e-04 	1.091e-07 	1.261e-07 
0.21105 	4.23345 	2.332e-07 	3.735e-05 	2.246e-07 	1.084e-04 	2.428e-04 	2.226e-07 	2.446e-07 
0.23115 	4.63664 	1.315e-07 	9.770e-06 	1.203e-07 	1.361e-04 	2.141e-04 	6.620e-07 	4.099e-07 
0.25125 	5.03982 	8.472e-08 	2.097e-06 	6.965e-08 	1.438e-04 	2.034e-04 	2.015e-06 	6.463e-07 
0.27135 	5.44301 	6.144e-08 	6.676e-07 	4.218e-08 	1.452e-04 	1.966e-04 	4.554e-06 	9.097e-07 
0.29145 	5.84620 	4.952e-08 	2.972e-07 	2.662e-08 	1.456e-04 	1.878e-04 	8.659e-06 	1.122e-06 
0.31155 	6.24938 	4.326e-08 	1.649e-07 	1.758e-08 	1.458e-04 	1.757e-04 	1.457e-05 	1.237e-06 
0.33165 	6.65257 	4.009e-08 	1.086e-07 	1.250e-08 	1.458e-04 	1.617e-04 	2.156e-05 	1.259e-06 
0.35175 	7.05575 	3.859e-08 	8.291e-08 	9.814e-09 	1.459e-04 	1.488e-04 	2.798e-05 	1.231e-06 
0.37185 	7.45894 	3.792e-08 	7.091e-08 	8.466e-09 	1.459e-04 	1.396e-04 	3.261e-05 	1.195e-06 
0.39195 	7.86213 	3.762e-08 	6.525e-08 	7.806e-09 	1.459e-04 	1.340e-04 	3.540e-05 	1.168e-06 
0.41205 	8.26531 	3.748e-08 	6.256e-08 	7.486e-09 	1.459e-04 	1.310e-04 	3.691e-05 	1.153e-06 
0.43215 	8.66850 	3.742e-08 	6.126e-08 	7.331e-09 	1.459e-04 	1.295e-04 	3.769e-05 	1.145e-06 
0.45225 	9.07168 	3.739e-08 	6.064e-08 	7.256e-09 	1.459e-04 	1.287e-04 	3.807e-05 	1.141e-06 
0.47235 	9.47487 	3.737e-08 	6.034e-08 	7.220e-09 	1.459e-04 	1.283e-04 	3.826e-05 	1.139e-06 
0.49245 	9.87805 	3.737e-08 	6.020e-08 	7.202e-09 	1.459e-04 	1.281e-04 	3.835e-05 	1.138e-06 
0.51255 	10.28124 	3.736e-08 	6.013e-08 	7.194e-09 	1.459e-04 	1.281e-04 	3.840e-05 	1.138e-06 
0.53265 	10.68443 	3.736e-08 	6.009e-08 	7.190e-09 	1.459e-04 	1.280e-04 	3.842e-05 	1.137e-06 
0.55275 	11.08761 	3.736e-08 	6.008e-08 	7.188e-09 	1.459e-04 	1.280e-04 	3.843e-05 	1.137e-06 
0.57285 	11.49080 	3.736e-08 	6.007e-08 	7.187e-09 	1.459e-04 	1.280e-04 	3.843e-05 	1.137e-06 
0.59295 	11.89398 	3.736e-08 	6.007e-08 	7.186e-09 	1.459e-04 	1.280e-04 	3.844e-05 	1.137e-06 
