n = 1.0e+04, Tgas =  24.0, Tdust =  24.0, Go = 100.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15507 	1.428e-04 	2.839e-07 	1.428e-04 	2.953e-10 	3.449e-04 	7.841e-14 	2.671e-12 
0.03015 	0.46521 	1.424e-04 	7.163e-07 	1.424e-04 	8.431e-10 	3.451e-04 	2.212e-13 	4.479e-12 
0.05025 	0.77536 	1.414e-04 	1.792e-06 	1.414e-04 	2.453e-09 	3.452e-04 	6.102e-13 	7.468e-12 
0.07035 	1.08550 	1.388e-04 	4.394e-06 	1.388e-04 	7.207e-09 	3.453e-04 	1.626e-12 	1.241e-11 
0.09045 	1.39564 	1.330e-04 	1.030e-05 	1.330e-04 	2.104e-08 	3.456e-04 	4.147e-12 	2.075e-11 
0.11055 	1.70579 	1.214e-04 	2.211e-05 	1.213e-04 	5.953e-08 	3.461e-04 	1.021e-11 	3.586e-11 
0.13065 	2.01593 	1.024e-04 	4.132e-05 	1.024e-04 	1.584e-07 	3.468e-04 	2.529e-11 	6.657e-11 
0.15075 	2.32607 	7.837e-05 	6.556e-05 	7.834e-05 	3.864e-07 	3.477e-04 	6.713e-11 	1.366e-10 
0.17085 	2.63622 	5.432e-05 	8.960e-05 	5.429e-05 	8.554e-07 	3.483e-04 	1.998e-10 	3.093e-10 
0.19095 	2.94636 	3.426e-05 	1.092e-04 	3.423e-05 	1.716e-06 	3.484e-04 	6.594e-10 	7.551e-10 
0.21105 	3.25650 	1.966e-05 	1.227e-04 	1.963e-05 	3.133e-06 	3.477e-04 	2.266e-09 	1.930e-09 
0.23115 	3.56664 	1.023e-05 	1.302e-04 	1.020e-05 	5.293e-06 	3.459e-04 	7.325e-09 	4.956e-09 
0.25125 	3.87679 	4.872e-06 	1.322e-04 	4.851e-06 	8.724e-06 	3.422e-04 	1.972e-08 	1.201e-08 
0.27135 	4.18693 	2.236e-06 	1.284e-04 	2.219e-06 	1.526e-05 	3.339e-04 	4.089e-08 	2.599e-08 
