n = 1.0e+02, Tgas =   5.0, Tdust =   5.0, Go =  10.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.00155 	1.350e-04 	3.950e-08 	1.327e-04 	3.818e-12 	3.200e-04 	2.240e-16 	7.730e-12 
0.03015 	0.00465 	1.350e-04 	3.987e-08 	1.327e-04 	3.855e-12 	3.200e-04 	2.264e-16 	7.773e-12 
0.05025 	0.00775 	1.350e-04 	4.024e-08 	1.327e-04 	3.892e-12 	3.200e-04 	2.290e-16 	7.816e-12 
0.07035 	0.01086 	1.350e-04 	4.062e-08 	1.327e-04 	3.930e-12 	3.200e-04 	2.315e-16 	7.859e-12 
0.09045 	0.01396 	1.350e-04 	4.100e-08 	1.327e-04 	3.968e-12 	3.200e-04 	2.341e-16 	7.903e-12 
0.11055 	0.01706 	1.350e-04 	4.139e-08 	1.327e-04 	4.007e-12 	3.200e-04 	2.366e-16 	7.947e-12 
0.13065 	0.02016 	1.350e-04 	4.177e-08 	1.327e-04 	4.046e-12 	3.200e-04 	2.393e-16 	7.991e-12 
0.15075 	0.02326 	1.350e-04 	4.216e-08 	1.327e-04 	4.085e-12 	3.200e-04 	2.419e-16 	8.035e-12 
0.17085 	0.02636 	1.350e-04 	4.256e-08 	1.327e-04 	4.125e-12 	3.200e-04 	2.446e-16 	8.080e-12 
0.19095 	0.02946 	1.350e-04 	4.296e-08 	1.327e-04 	4.165e-12 	3.201e-04 	2.473e-16 	8.125e-12 
0.21105 	0.03257 	1.350e-04 	4.336e-08 	1.327e-04 	4.206e-12 	3.201e-04 	2.500e-16 	8.170e-12 
0.23115 	0.03567 	1.350e-04 	4.377e-08 	1.327e-04 	4.247e-12 	3.201e-04 	2.528e-16 	8.215e-12 
0.25125 	0.03877 	1.350e-04 	4.418e-08 	1.327e-04 	4.288e-12 	3.201e-04 	2.556e-16 	8.261e-12 
0.27135 	0.04187 	1.350e-04 	4.459e-08 	1.327e-04 	4.330e-12 	3.201e-04 	2.584e-16 	8.307e-12 
0.29145 	0.04497 	1.350e-04 	4.501e-08 	1.327e-04 	4.372e-12 	3.201e-04 	2.613e-16 	8.353e-12 
0.31155 	0.04807 	1.350e-04 	4.543e-08 	1.327e-04 	4.415e-12 	3.201e-04 	2.642e-16 	8.399e-12 
0.33165 	0.05117 	1.350e-04 	4.586e-08 	1.327e-04 	4.458e-12 	3.201e-04 	2.671e-16 	8.446e-12 
0.35175 	0.05428 	1.350e-04 	4.629e-08 	1.327e-04 	4.501e-12 	3.201e-04 	2.701e-16 	8.493e-12 
0.37185 	0.05738 	1.350e-04 	4.672e-08 	1.327e-04 	4.545e-12 	3.201e-04 	2.730e-16 	8.540e-12 
0.39195 	0.06048 	1.350e-04 	4.716e-08 	1.327e-04 	4.589e-12 	3.201e-04 	2.761e-16 	8.587e-12 
0.41205 	0.06358 	1.350e-04 	4.760e-08 	1.328e-04 	4.634e-12 	3.202e-04 	2.791e-16 	8.634e-12 
0.43215 	0.06668 	1.350e-04 	4.805e-08 	1.328e-04 	4.679e-12 	3.202e-04 	2.822e-16 	8.682e-12 
0.45225 	0.06978 	1.350e-04 	4.850e-08 	1.328e-04 	4.725e-12 	3.202e-04 	2.853e-16 	8.730e-12 
0.47235 	0.07288 	1.350e-04 	4.895e-08 	1.328e-04 	4.771e-12 	3.202e-04 	2.885e-16 	8.779e-12 
0.49245 	0.07599 	1.350e-04 	4.941e-08 	1.328e-04 	4.817e-12 	3.202e-04 	2.917e-16 	8.827e-12 
0.51255 	0.07909 	1.351e-04 	4.987e-08 	1.328e-04 	4.864e-12 	3.202e-04 	2.949e-16 	8.876e-12 
0.53265 	0.08219 	1.351e-04 	5.034e-08 	1.328e-04 	4.912e-12 	3.202e-04 	2.982e-16 	8.925e-12 
0.55275 	0.08529 	1.351e-04 	5.081e-08 	1.328e-04 	4.960e-12 	3.202e-04 	3.014e-16 	8.974e-12 
0.57285 	0.08839 	1.351e-04 	5.129e-08 	1.328e-04 	5.008e-12 	3.202e-04 	3.048e-16 	9.024e-12 
0.59295 	0.09149 	1.351e-04 	5.177e-08 	1.328e-04 	5.057e-12 	3.202e-04 	3.081e-16 	9.074e-12 
0.61305 	0.09459 	1.351e-04 	5.225e-08 	1.328e-04 	5.106e-12 	3.202e-04 	3.115e-16 	9.124e-12 
0.63315 	0.09770 	1.351e-04 	5.274e-08 	1.328e-04 	5.156e-12 	3.202e-04 	3.150e-16 	9.174e-12 
0.65325 	0.10080 	1.351e-04 	5.324e-08 	1.328e-04 	5.206e-12 	3.203e-04 	3.185e-16 	9.225e-12 
0.67335 	0.10390 	1.351e-04 	5.374e-08 	1.328e-04 	5.257e-12 	3.203e-04 	3.220e-16 	9.276e-12 
0.69345 	0.10700 	1.351e-04 	5.424e-08 	1.328e-04 	5.309e-12 	3.203e-04 	3.255e-16 	9.327e-12 
0.71355 	0.11010 	1.351e-04 	5.475e-08 	1.328e-04 	5.360e-12 	3.203e-04 	3.291e-16 	9.379e-12 
0.73365 	0.11320 	1.351e-04 	5.526e-08 	1.328e-04 	5.413e-12 	3.203e-04 	3.328e-16 	9.430e-12 
0.75375 	0.11630 	1.351e-04 	5.578e-08 	1.328e-04 	5.466e-12 	3.203e-04 	3.364e-16 	9.482e-12 
0.77385 	0.11941 	1.351e-04 	5.630e-08 	1.328e-04 	5.519e-12 	3.203e-04 	3.402e-16 	9.535e-12 
0.79395 	0.12251 	1.351e-04 	5.683e-08 	1.328e-04 	5.573e-12 	3.203e-04 	3.439e-16 	9.587e-12 
0.81405 	0.12561 	1.351e-04 	5.736e-08 	1.328e-04 	5.627e-12 	3.203e-04 	3.477e-16 	9.640e-12 
0.83415 	0.12871 	1.351e-04 	5.790e-08 	1.328e-04 	5.683e-12 	3.203e-04 	3.516e-16 	9.693e-12 
0.85425 	0.13181 	1.351e-04 	5.844e-08 	1.328e-04 	5.738e-12 	3.203e-04 	3.554e-16 	9.747e-12 
0.87435 	0.13491 	1.351e-04 	5.899e-08 	1.328e-04 	5.794e-12 	3.203e-04 	3.594e-16 	9.800e-12 
0.89445 	0.13801 	1.351e-04 	5.954e-08 	1.328e-04 	5.851e-12 	3.203e-04 	3.633e-16 	9.854e-12 
0.91455 	0.14112 	1.351e-04 	6.010e-08 	1.328e-04 	5.908e-12 	3.204e-04 	3.673e-16 	9.908e-12 
0.93465 	0.14422 	1.351e-04 	6.066e-08 	1.328e-04 	5.966e-12 	3.204e-04 	3.714e-16 	9.963e-12 
0.95475 	0.14732 	1.351e-04 	6.123e-08 	1.328e-04 	6.024e-12 	3.204e-04 	3.755e-16 	1.002e-11 
0.97485 	0.15042 	1.351e-04 	6.180e-08 	1.328e-04 	6.083e-12 	3.204e-04 	3.796e-16 	1.007e-11 
0.99495 	0.15352 	1.351e-04 	6.238e-08 	1.328e-04 	6.143e-12 	3.204e-04 	3.838e-16 	1.013e-11 
1.01505 	0.15662 	1.351e-04 	6.297e-08 	1.328e-04 	6.203e-12 	3.204e-04 	3.880e-16 	1.018e-11 
1.03515 	0.15972 	1.351e-04 	6.356e-08 	1.328e-04 	6.264e-12 	3.204e-04 	3.923e-16 	1.024e-11 
1.05525 	0.16283 	1.351e-04 	6.415e-08 	1.328e-04 	6.325e-12 	3.204e-04 	3.966e-16 	1.030e-11 
