n = 1.0e+02, Tgas =  10.5, Tdust =  10.5, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.00155 	1.394e-04 	2.710e-07 	1.368e-04 	1.928e-10 	3.305e-04 	4.714e-13 	1.223e-10 
0.03015 	0.00465 	1.394e-04 	2.735e-07 	1.368e-04 	1.949e-10 	3.305e-04 	4.765e-13 	1.229e-10 
0.05025 	0.00775 	1.394e-04 	2.760e-07 	1.368e-04 	1.971e-10 	3.306e-04 	4.816e-13 	1.236e-10 
0.07035 	0.01086 	1.394e-04 	2.786e-07 	1.368e-04 	1.993e-10 	3.306e-04 	4.867e-13 	1.242e-10 
0.09045 	0.01396 	1.394e-04 	2.812e-07 	1.368e-04 	2.015e-10 	3.306e-04 	4.919e-13 	1.249e-10 
0.11055 	0.01706 	1.394e-04 	2.838e-07 	1.368e-04 	2.037e-10 	3.306e-04 	4.972e-13 	1.255e-10 
0.13065 	0.02016 	1.394e-04 	2.865e-07 	1.368e-04 	2.060e-10 	3.306e-04 	5.025e-13 	1.262e-10 
0.15075 	0.02326 	1.394e-04 	2.891e-07 	1.368e-04 	2.083e-10 	3.306e-04 	5.079e-13 	1.268e-10 
0.17085 	0.02636 	1.394e-04 	2.918e-07 	1.368e-04 	2.106e-10 	3.306e-04 	5.133e-13 	1.275e-10 
0.19095 	0.02946 	1.394e-04 	2.946e-07 	1.368e-04 	2.130e-10 	3.306e-04 	5.188e-13 	1.282e-10 
0.21105 	0.03257 	1.394e-04 	2.973e-07 	1.368e-04 	2.153e-10 	3.306e-04 	5.244e-13 	1.288e-10 
0.23115 	0.03567 	1.394e-04 	3.001e-07 	1.368e-04 	2.177e-10 	3.306e-04 	5.300e-13 	1.295e-10 
0.25125 	0.03877 	1.394e-04 	3.029e-07 	1.368e-04 	2.201e-10 	3.306e-04 	5.357e-13 	1.302e-10 
0.27135 	0.04187 	1.394e-04 	3.057e-07 	1.368e-04 	2.226e-10 	3.306e-04 	5.414e-13 	1.309e-10 
0.29145 	0.04497 	1.394e-04 	3.085e-07 	1.368e-04 	2.251e-10 	3.306e-04 	5.472e-13 	1.316e-10 
0.31155 	0.04807 	1.394e-04 	3.114e-07 	1.368e-04 	2.276e-10 	3.306e-04 	5.530e-13 	1.323e-10 
0.33165 	0.05117 	1.394e-04 	3.143e-07 	1.368e-04 	2.301e-10 	3.306e-04 	5.589e-13 	1.329e-10 
0.35175 	0.05428 	1.394e-04 	3.172e-07 	1.368e-04 	2.327e-10 	3.306e-04 	5.649e-13 	1.336e-10 
0.37185 	0.05738 	1.394e-04 	3.202e-07 	1.368e-04 	2.353e-10 	3.306e-04 	5.709e-13 	1.343e-10 
0.39195 	0.06048 	1.394e-04 	3.232e-07 	1.368e-04 	2.379e-10 	3.306e-04 	5.770e-13 	1.351e-10 
0.41205 	0.06358 	1.394e-04 	3.262e-07 	1.368e-04 	2.406e-10 	3.306e-04 	5.832e-13 	1.358e-10 
0.43215 	0.06668 	1.394e-04 	3.292e-07 	1.368e-04 	2.432e-10 	3.306e-04 	5.894e-13 	1.365e-10 
0.45225 	0.06978 	1.394e-04 	3.323e-07 	1.368e-04 	2.460e-10 	3.306e-04 	5.957e-13 	1.372e-10 
0.47235 	0.07288 	1.394e-04 	3.354e-07 	1.368e-04 	2.487e-10 	3.306e-04 	6.021e-13 	1.379e-10 
0.49245 	0.07599 	1.394e-04 	3.385e-07 	1.368e-04 	2.515e-10 	3.306e-04 	6.085e-13 	1.386e-10 
0.51255 	0.07909 	1.393e-04 	3.416e-07 	1.368e-04 	2.543e-10 	3.306e-04 	6.150e-13 	1.394e-10 
0.53265 	0.08219 	1.393e-04 	3.448e-07 	1.368e-04 	2.571e-10 	3.306e-04 	6.216e-13 	1.401e-10 
0.55275 	0.08529 	1.393e-04 	3.480e-07 	1.368e-04 	2.600e-10 	3.306e-04 	6.282e-13 	1.408e-10 
0.57285 	0.08839 	1.393e-04 	3.513e-07 	1.368e-04 	2.629e-10 	3.306e-04 	6.349e-13 	1.416e-10 
0.59295 	0.09149 	1.393e-04 	3.545e-07 	1.368e-04 	2.658e-10 	3.306e-04 	6.417e-13 	1.423e-10 
0.61305 	0.09459 	1.393e-04 	3.578e-07 	1.368e-04 	2.688e-10 	3.306e-04 	6.486e-13 	1.430e-10 
0.63315 	0.09770 	1.393e-04 	3.612e-07 	1.368e-04 	2.718e-10 	3.306e-04 	6.555e-13 	1.438e-10 
0.65325 	0.10080 	1.393e-04 	3.645e-07 	1.368e-04 	2.749e-10 	3.306e-04 	6.625e-13 	1.445e-10 
0.67335 	0.10390 	1.393e-04 	3.679e-07 	1.368e-04 	2.779e-10 	3.306e-04 	6.695e-13 	1.453e-10 
0.69345 	0.10700 	1.393e-04 	3.713e-07 	1.368e-04 	2.810e-10 	3.306e-04 	6.767e-13 	1.461e-10 
0.71355 	0.11010 	1.393e-04 	3.748e-07 	1.368e-04 	2.842e-10 	3.306e-04 	6.839e-13 	1.468e-10 
0.73365 	0.11320 	1.393e-04 	3.783e-07 	1.368e-04 	2.874e-10 	3.306e-04 	6.912e-13 	1.476e-10 
0.75375 	0.11630 	1.393e-04 	3.818e-07 	1.368e-04 	2.906e-10 	3.306e-04 	6.985e-13 	1.484e-10 
0.77385 	0.11941 	1.393e-04 	3.854e-07 	1.367e-04 	2.938e-10 	3.306e-04 	7.060e-13 	1.491e-10 
0.79395 	0.12251 	1.393e-04 	3.889e-07 	1.367e-04 	2.971e-10 	3.306e-04 	7.135e-13 	1.499e-10 
0.81405 	0.12561 	1.393e-04 	3.926e-07 	1.367e-04 	3.005e-10 	3.306e-04 	7.211e-13 	1.507e-10 
0.83415 	0.12871 	1.393e-04 	3.962e-07 	1.367e-04 	3.038e-10 	3.306e-04 	7.288e-13 	1.515e-10 
0.85425 	0.13181 	1.393e-04 	3.999e-07 	1.367e-04 	3.072e-10 	3.306e-04 	7.366e-13 	1.523e-10 
0.87435 	0.13491 	1.393e-04 	4.036e-07 	1.367e-04 	3.107e-10 	3.306e-04 	7.444e-13 	1.531e-10 
0.89445 	0.13801 	1.393e-04 	4.074e-07 	1.367e-04 	3.141e-10 	3.306e-04 	7.523e-13 	1.539e-10 
0.91455 	0.14112 	1.393e-04 	4.112e-07 	1.367e-04 	3.177e-10 	3.306e-04 	7.603e-13 	1.547e-10 
0.93465 	0.14422 	1.393e-04 	4.150e-07 	1.367e-04 	3.212e-10 	3.306e-04 	7.684e-13 	1.555e-10 
0.95475 	0.14732 	1.393e-04 	4.188e-07 	1.367e-04 	3.248e-10 	3.306e-04 	7.766e-13 	1.563e-10 
0.97485 	0.15042 	1.393e-04 	4.227e-07 	1.367e-04 	3.285e-10 	3.306e-04 	7.849e-13 	1.571e-10 
0.99495 	0.15352 	1.393e-04 	4.267e-07 	1.367e-04 	3.322e-10 	3.306e-04 	7.932e-13 	1.580e-10 
1.01505 	0.15662 	1.393e-04 	4.306e-07 	1.367e-04 	3.359e-10 	3.306e-04 	8.017e-13 	1.588e-10 
1.03515 	0.15972 	1.393e-04 	4.346e-07 	1.367e-04 	3.396e-10 	3.306e-04 	8.102e-13 	1.596e-10 
1.05525 	0.16283 	1.393e-04 	4.387e-07 	1.367e-04 	3.435e-10 	3.306e-04 	8.188e-13 	1.605e-10 
1.07535 	0.16593 	1.393e-04 	4.428e-07 	1.367e-04 	3.473e-10 	3.306e-04 	8.275e-13 	1.613e-10 
1.09545 	0.16903 	1.393e-04 	4.469e-07 	1.367e-04 	3.512e-10 	3.306e-04 	8.363e-13 	1.621e-10 
1.11555 	0.17213 	1.392e-04 	4.510e-07 	1.367e-04 	3.552e-10 	3.306e-04 	8.452e-13 	1.630e-10 
1.13565 	0.17523 	1.392e-04 	4.552e-07 	1.367e-04 	3.591e-10 	3.306e-04 	8.542e-13 	1.638e-10 
1.15575 	0.17833 	1.392e-04 	4.594e-07 	1.367e-04 	3.632e-10 	3.306e-04 	8.633e-13 	1.647e-10 
1.17585 	0.18143 	1.392e-04 	4.637e-07 	1.367e-04 	3.673e-10 	3.306e-04 	8.725e-13 	1.655e-10 
1.19595 	0.18454 	1.392e-04 	4.680e-07 	1.367e-04 	3.714e-10 	3.306e-04 	8.817e-13 	1.664e-10 
1.21605 	0.18764 	1.392e-04 	4.724e-07 	1.367e-04 	3.756e-10 	3.306e-04 	8.911e-13 	1.673e-10 
1.23615 	0.19074 	1.392e-04 	4.768e-07 	1.367e-04 	3.798e-10 	3.306e-04 	9.006e-13 	1.682e-10 
