n = 7.0e+01, Tgas =  30.0, Tdust =  30.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.00109 	1.447e-04 	1.116e-07 	1.394e-04 	1.429e-10 	3.363e-04 	1.926e-12 	2.028e-10 
0.03015 	0.00326 	1.447e-04 	1.123e-07 	1.394e-04 	1.440e-10 	3.363e-04 	1.941e-12 	2.036e-10 
0.05025 	0.00543 	1.447e-04 	1.130e-07 	1.394e-04 	1.451e-10 	3.363e-04 	1.955e-12 	2.043e-10 
0.07035 	0.00760 	1.447e-04 	1.138e-07 	1.394e-04 	1.462e-10 	3.363e-04 	1.970e-12 	2.051e-10 
0.09045 	0.00977 	1.447e-04 	1.145e-07 	1.394e-04 	1.473e-10 	3.363e-04 	1.985e-12 	2.058e-10 
0.11055 	0.01194 	1.447e-04 	1.153e-07 	1.394e-04 	1.485e-10 	3.363e-04 	2.000e-12 	2.066e-10 
0.13065 	0.01411 	1.447e-04 	1.160e-07 	1.394e-04 	1.496e-10 	3.363e-04 	2.015e-12 	2.073e-10 
0.15075 	0.01628 	1.447e-04 	1.168e-07 	1.394e-04 	1.508e-10 	3.363e-04 	2.030e-12 	2.081e-10 
0.17085 	0.01845 	1.447e-04 	1.175e-07 	1.394e-04 	1.519e-10 	3.363e-04 	2.045e-12 	2.089e-10 
0.19095 	0.02062 	1.447e-04 	1.183e-07 	1.394e-04 	1.531e-10 	3.363e-04 	2.061e-12 	2.096e-10 
0.21105 	0.02280 	1.447e-04 	1.191e-07 	1.394e-04 	1.543e-10 	3.363e-04 	2.076e-12 	2.104e-10 
0.23115 	0.02497 	1.447e-04 	1.199e-07 	1.394e-04 	1.555e-10 	3.363e-04 	2.092e-12 	2.112e-10 
0.25125 	0.02714 	1.447e-04 	1.206e-07 	1.394e-04 	1.567e-10 	3.363e-04 	2.107e-12 	2.119e-10 
0.27135 	0.02931 	1.447e-04 	1.214e-07 	1.394e-04 	1.579e-10 	3.363e-04 	2.123e-12 	2.127e-10 
0.29145 	0.03148 	1.447e-04 	1.222e-07 	1.394e-04 	1.591e-10 	3.363e-04 	2.139e-12 	2.135e-10 
0.31155 	0.03365 	1.447e-04 	1.230e-07 	1.394e-04 	1.603e-10 	3.363e-04 	2.155e-12 	2.143e-10 
0.33165 	0.03582 	1.447e-04 	1.238e-07 	1.394e-04 	1.615e-10 	3.363e-04 	2.171e-12 	2.151e-10 
0.35175 	0.03799 	1.447e-04 	1.246e-07 	1.394e-04 	1.628e-10 	3.363e-04 	2.188e-12 	2.159e-10 
0.37185 	0.04016 	1.447e-04 	1.254e-07 	1.394e-04 	1.641e-10 	3.363e-04 	2.204e-12 	2.167e-10 
0.39195 	0.04233 	1.447e-04 	1.263e-07 	1.394e-04 	1.653e-10 	3.363e-04 	2.221e-12 	2.175e-10 
0.41205 	0.04451 	1.447e-04 	1.271e-07 	1.394e-04 	1.666e-10 	3.363e-04 	2.237e-12 	2.183e-10 
0.43215 	0.04668 	1.447e-04 	1.279e-07 	1.394e-04 	1.679e-10 	3.363e-04 	2.254e-12 	2.191e-10 
0.45225 	0.04885 	1.447e-04 	1.287e-07 	1.394e-04 	1.692e-10 	3.363e-04 	2.271e-12 	2.199e-10 
0.47235 	0.05102 	1.447e-04 	1.296e-07 	1.394e-04 	1.705e-10 	3.363e-04 	2.288e-12 	2.207e-10 
0.49245 	0.05319 	1.447e-04 	1.304e-07 	1.394e-04 	1.718e-10 	3.363e-04 	2.305e-12 	2.215e-10 
0.51255 	0.05536 	1.447e-04 	1.313e-07 	1.394e-04 	1.731e-10 	3.363e-04 	2.323e-12 	2.223e-10 
0.53265 	0.05753 	1.447e-04 	1.321e-07 	1.394e-04 	1.745e-10 	3.363e-04 	2.340e-12 	2.231e-10 
0.55275 	0.05970 	1.447e-04 	1.330e-07 	1.394e-04 	1.758e-10 	3.363e-04 	2.358e-12 	2.239e-10 
0.57285 	0.06187 	1.447e-04 	1.339e-07 	1.394e-04 	1.772e-10 	3.363e-04 	2.375e-12 	2.247e-10 
0.59295 	0.06404 	1.447e-04 	1.347e-07 	1.394e-04 	1.786e-10 	3.363e-04 	2.393e-12 	2.256e-10 
0.61305 	0.06622 	1.447e-04 	1.356e-07 	1.394e-04 	1.799e-10 	3.363e-04 	2.411e-12 	2.264e-10 
0.63315 	0.06839 	1.447e-04 	1.365e-07 	1.394e-04 	1.813e-10 	3.363e-04 	2.429e-12 	2.272e-10 
0.65325 	0.07056 	1.447e-04 	1.374e-07 	1.393e-04 	1.827e-10 	3.363e-04 	2.447e-12 	2.281e-10 
0.67335 	0.07273 	1.447e-04 	1.383e-07 	1.393e-04 	1.842e-10 	3.363e-04 	2.466e-12 	2.289e-10 
0.69345 	0.07490 	1.447e-04 	1.392e-07 	1.393e-04 	1.856e-10 	3.363e-04 	2.484e-12 	2.297e-10 
0.71355 	0.07707 	1.447e-04 	1.401e-07 	1.393e-04 	1.870e-10 	3.363e-04 	2.503e-12 	2.306e-10 
0.73365 	0.07924 	1.447e-04 	1.410e-07 	1.393e-04 	1.885e-10 	3.363e-04 	2.522e-12 	2.314e-10 
0.75375 	0.08141 	1.447e-04 	1.419e-07 	1.393e-04 	1.899e-10 	3.363e-04 	2.540e-12 	2.323e-10 
0.77385 	0.08358 	1.447e-04 	1.429e-07 	1.393e-04 	1.914e-10 	3.363e-04 	2.560e-12 	2.331e-10 
0.79395 	0.08575 	1.447e-04 	1.438e-07 	1.393e-04 	1.929e-10 	3.363e-04 	2.579e-12 	2.340e-10 
0.81405 	0.08793 	1.447e-04 	1.447e-07 	1.393e-04 	1.944e-10 	3.363e-04 	2.598e-12 	2.348e-10 
0.83415 	0.09010 	1.447e-04 	1.457e-07 	1.393e-04 	1.959e-10 	3.363e-04 	2.618e-12 	2.357e-10 
0.85425 	0.09227 	1.447e-04 	1.466e-07 	1.393e-04 	1.974e-10 	3.363e-04 	2.637e-12 	2.366e-10 
0.87435 	0.09444 	1.447e-04 	1.476e-07 	1.393e-04 	1.990e-10 	3.363e-04 	2.657e-12 	2.374e-10 
0.89445 	0.09661 	1.447e-04 	1.486e-07 	1.393e-04 	2.005e-10 	3.363e-04 	2.677e-12 	2.383e-10 
0.91455 	0.09878 	1.447e-04 	1.495e-07 	1.393e-04 	2.021e-10 	3.363e-04 	2.697e-12 	2.392e-10 
0.93465 	0.10095 	1.447e-04 	1.505e-07 	1.393e-04 	2.036e-10 	3.363e-04 	2.717e-12 	2.401e-10 
0.95475 	0.10312 	1.447e-04 	1.515e-07 	1.393e-04 	2.052e-10 	3.363e-04 	2.737e-12 	2.409e-10 
0.97485 	0.10529 	1.447e-04 	1.525e-07 	1.393e-04 	2.068e-10 	3.363e-04 	2.758e-12 	2.418e-10 
0.99495 	0.10746 	1.447e-04 	1.535e-07 	1.393e-04 	2.084e-10 	3.363e-04 	2.779e-12 	2.427e-10 
1.01505 	0.10964 	1.447e-04 	1.545e-07 	1.393e-04 	2.100e-10 	3.363e-04 	2.799e-12 	2.436e-10 
1.03515 	0.11181 	1.447e-04 	1.555e-07 	1.393e-04 	2.117e-10 	3.363e-04 	2.820e-12 	2.445e-10 
1.05525 	0.11398 	1.447e-04 	1.565e-07 	1.393e-04 	2.133e-10 	3.363e-04 	2.841e-12 	2.454e-10 
1.07535 	0.11615 	1.446e-04 	1.575e-07 	1.393e-04 	2.150e-10 	3.363e-04 	2.863e-12 	2.463e-10 
1.09545 	0.11832 	1.446e-04 	1.585e-07 	1.393e-04 	2.166e-10 	3.363e-04 	2.884e-12 	2.472e-10 
1.11555 	0.12049 	1.446e-04 	1.596e-07 	1.393e-04 	2.183e-10 	3.363e-04 	2.906e-12 	2.481e-10 
1.13565 	0.12266 	1.446e-04 	1.606e-07 	1.393e-04 	2.200e-10 	3.363e-04 	2.927e-12 	2.490e-10 
1.15575 	0.12483 	1.446e-04 	1.617e-07 	1.393e-04 	2.217e-10 	3.363e-04 	2.949e-12 	2.499e-10 
1.17585 	0.12700 	1.446e-04 	1.627e-07 	1.393e-04 	2.235e-10 	3.363e-04 	2.971e-12 	2.508e-10 
1.19595 	0.12917 	1.446e-04 	1.638e-07 	1.393e-04 	2.252e-10 	3.363e-04 	2.994e-12 	2.518e-10 
1.21605 	0.13135 	1.446e-04 	1.648e-07 	1.393e-04 	2.270e-10 	3.363e-04 	3.016e-12 	2.527e-10 
1.23615 	0.13352 	1.446e-04 	1.659e-07 	1.393e-04 	2.287e-10 	3.364e-04 	3.039e-12 	2.536e-10 
1.25625 	0.13569 	1.446e-04 	1.670e-07 	1.393e-04 	2.305e-10 	3.364e-04 	3.061e-12 	2.545e-10 
1.27635 	0.13786 	1.446e-04 	1.681e-07 	1.393e-04 	2.323e-10 	3.364e-04 	3.084e-12 	2.555e-10 
1.29645 	0.14003 	1.446e-04 	1.692e-07 	1.393e-04 	2.341e-10 	3.364e-04 	3.107e-12 	2.564e-10 
1.31655 	0.14220 	1.446e-04 	1.703e-07 	1.393e-04 	2.359e-10 	3.364e-04 	3.131e-12 	2.573e-10 
1.33665 	0.14437 	1.446e-04 	1.714e-07 	1.393e-04 	2.378e-10 	3.364e-04 	3.154e-12 	2.583e-10 
1.35675 	0.14654 	1.446e-04 	1.725e-07 	1.393e-04 	2.396e-10 	3.364e-04 	3.178e-12 	2.592e-10 
1.37685 	0.14871 	1.446e-04 	1.736e-07 	1.393e-04 	2.415e-10 	3.364e-04 	3.201e-12 	2.602e-10 
1.39695 	0.15088 	1.446e-04 	1.748e-07 	1.393e-04 	2.434e-10 	3.364e-04 	3.225e-12 	2.611e-10 
1.41705 	0.15306 	1.446e-04 	1.759e-07 	1.393e-04 	2.453e-10 	3.364e-04 	3.249e-12 	2.621e-10 
1.43715 	0.15523 	1.446e-04 	1.771e-07 	1.393e-04 	2.472e-10 	3.364e-04 	3.274e-12 	2.630e-10 
1.45725 	0.15740 	1.446e-04 	1.782e-07 	1.393e-04 	2.491e-10 	3.364e-04 	3.298e-12 	2.640e-10 
1.47735 	0.15957 	1.446e-04 	1.794e-07 	1.393e-04 	2.511e-10 	3.364e-04 	3.323e-12 	2.650e-10 
1.49745 	0.16174 	1.446e-04 	1.805e-07 	1.393e-04 	2.530e-10 	3.364e-04 	3.348e-12 	2.659e-10 
1.51755 	0.16391 	1.446e-04 	1.817e-07 	1.393e-04 	2.550e-10 	3.364e-04 	3.373e-12 	2.669e-10 
1.53765 	0.16608 	1.446e-04 	1.829e-07 	1.393e-04 	2.570e-10 	3.364e-04 	3.398e-12 	2.679e-10 
1.55775 	0.16825 	1.446e-04 	1.841e-07 	1.393e-04 	2.590e-10 	3.364e-04 	3.423e-12 	2.689e-10 
1.57785 	0.17042 	1.446e-04 	1.853e-07 	1.393e-04 	2.610e-10 	3.364e-04 	3.449e-12 	2.698e-10 
1.59795 	0.17259 	1.446e-04 	1.865e-07 	1.393e-04 	2.631e-10 	3.364e-04 	3.475e-12 	2.708e-10 
1.61805 	0.17477 	1.446e-04 	1.877e-07 	1.393e-04 	2.651e-10 	3.364e-04 	3.501e-12 	2.718e-10 
1.63815 	0.17694 	1.446e-04 	1.889e-07 	1.393e-04 	2.672e-10 	3.364e-04 	3.527e-12 	2.728e-10 
1.65825 	0.17911 	1.446e-04 	1.902e-07 	1.393e-04 	2.693e-10 	3.364e-04 	3.553e-12 	2.738e-10 
1.67835 	0.18128 	1.446e-04 	1.914e-07 	1.393e-04 	2.714e-10 	3.364e-04 	3.580e-12 	2.748e-10 
1.69845 	0.18345 	1.446e-04 	1.927e-07 	1.393e-04 	2.735e-10 	3.364e-04 	3.606e-12 	2.758e-10 
1.71855 	0.18562 	1.446e-04 	1.939e-07 	1.393e-04 	2.757e-10 	3.364e-04 	3.633e-12 	2.768e-10 
1.73865 	0.18779 	1.446e-04 	1.952e-07 	1.393e-04 	2.778e-10 	3.364e-04 	3.660e-12 	2.778e-10 
1.75875 	0.18996 	1.446e-04 	1.965e-07 	1.393e-04 	2.800e-10 	3.364e-04 	3.688e-12 	2.789e-10 
1.77885 	0.19213 	1.446e-04 	1.977e-07 	1.393e-04 	2.822e-10 	3.364e-04 	3.715e-12 	2.799e-10 
1.79895 	0.19430 	1.446e-04 	1.990e-07 	1.393e-04 	2.844e-10 	3.364e-04 	3.743e-12 	2.809e-10 
1.81905 	0.19648 	1.446e-04 	2.003e-07 	1.393e-04 	2.866e-10 	3.364e-04 	3.771e-12 	2.819e-10 
1.83915 	0.19865 	1.446e-04 	2.016e-07 	1.393e-04 	2.889e-10 	3.364e-04 	3.799e-12 	2.830e-10 
1.85925 	0.20082 	1.446e-04 	2.029e-07 	1.393e-04 	2.911e-10 	3.364e-04 	3.827e-12 	2.840e-10 
1.87935 	0.20299 	1.446e-04 	2.043e-07 	1.393e-04 	2.934e-10 	3.364e-04 	3.856e-12 	2.850e-10 
1.89945 	0.20516 	1.446e-04 	2.056e-07 	1.393e-04 	2.957e-10 	3.364e-04 	3.885e-12 	2.861e-10 
1.91955 	0.20733 	1.446e-04 	2.069e-07 	1.393e-04 	2.980e-10 	3.364e-04 	3.914e-12 	2.871e-10 
1.93965 	0.20950 	1.446e-04 	2.083e-07 	1.393e-04 	3.004e-10 	3.364e-04 	3.943e-12 	2.882e-10 
1.95975 	0.21167 	1.446e-04 	2.096e-07 	1.393e-04 	3.027e-10 	3.364e-04 	3.972e-12 	2.892e-10 
1.97985 	0.21384 	1.446e-04 	2.110e-07 	1.393e-04 	3.051e-10 	3.364e-04 	4.002e-12 	2.903e-10 
1.99995 	0.21601 	1.446e-04 	2.124e-07 	1.393e-04 	3.075e-10 	3.364e-04 	4.032e-12 	2.913e-10 
