n = 6.0e+01, Tgas =  40.0, Tdust =  40.0, Go =  10.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.00093 	1.487e-04 	8.255e-09 	1.384e-04 	4.046e-12 	3.336e-04 	2.840e-14 	3.102e-11 
0.03015 	0.00279 	1.487e-04 	8.301e-09 	1.384e-04 	4.070e-12 	3.336e-04 	2.857e-14 	3.110e-11 
0.05025 	0.00465 	1.487e-04 	8.348e-09 	1.384e-04 	4.094e-12 	3.336e-04 	2.875e-14 	3.119e-11 
0.07035 	0.00651 	1.487e-04 	8.395e-09 	1.384e-04 	4.119e-12 	3.336e-04 	2.892e-14 	3.128e-11 
0.09045 	0.00837 	1.487e-04 	8.442e-09 	1.384e-04 	4.143e-12 	3.336e-04 	2.910e-14 	3.136e-11 
0.11055 	0.01023 	1.486e-04 	8.489e-09 	1.384e-04 	4.168e-12 	3.336e-04 	2.928e-14 	3.145e-11 
0.13065 	0.01210 	1.486e-04 	8.537e-09 	1.384e-04 	4.193e-12 	3.337e-04 	2.946e-14 	3.153e-11 
0.15075 	0.01396 	1.486e-04 	8.585e-09 	1.384e-04 	4.218e-12 	3.337e-04 	2.964e-14 	3.162e-11 
0.17085 	0.01582 	1.486e-04 	8.633e-09 	1.384e-04 	4.243e-12 	3.337e-04 	2.982e-14 	3.171e-11 
0.19095 	0.01768 	1.486e-04 	8.682e-09 	1.384e-04 	4.268e-12 	3.337e-04 	3.000e-14 	3.180e-11 
0.21105 	0.01954 	1.486e-04 	8.730e-09 	1.384e-04 	4.293e-12 	3.337e-04 	3.018e-14 	3.188e-11 
0.23115 	0.02140 	1.486e-04 	8.779e-09 	1.384e-04 	4.319e-12 	3.337e-04 	3.037e-14 	3.197e-11 
0.25125 	0.02326 	1.486e-04 	8.829e-09 	1.384e-04 	4.345e-12 	3.337e-04 	3.055e-14 	3.206e-11 
0.27135 	0.02512 	1.486e-04 	8.878e-09 	1.384e-04 	4.370e-12 	3.337e-04 	3.074e-14 	3.215e-11 
0.29145 	0.02698 	1.486e-04 	8.928e-09 	1.384e-04 	4.396e-12 	3.337e-04 	3.093e-14 	3.224e-11 
0.31155 	0.02884 	1.485e-04 	8.978e-09 	1.384e-04 	4.423e-12 	3.337e-04 	3.112e-14 	3.233e-11 
0.33165 	0.03070 	1.485e-04 	9.029e-09 	1.384e-04 	4.449e-12 	3.337e-04 	3.131e-14 	3.242e-11 
0.35175 	0.03257 	1.485e-04 	9.079e-09 	1.384e-04 	4.475e-12 	3.337e-04 	3.150e-14 	3.251e-11 
0.37185 	0.03443 	1.485e-04 	9.130e-09 	1.384e-04 	4.502e-12 	3.337e-04 	3.169e-14 	3.260e-11 
0.39195 	0.03629 	1.485e-04 	9.182e-09 	1.384e-04 	4.529e-12 	3.337e-04 	3.189e-14 	3.269e-11 
0.41205 	0.03815 	1.485e-04 	9.233e-09 	1.384e-04 	4.555e-12 	3.338e-04 	3.208e-14 	3.278e-11 
0.43215 	0.04001 	1.485e-04 	9.285e-09 	1.384e-04 	4.582e-12 	3.338e-04 	3.228e-14 	3.287e-11 
0.45225 	0.04187 	1.485e-04 	9.337e-09 	1.384e-04 	4.610e-12 	3.338e-04 	3.248e-14 	3.296e-11 
0.47235 	0.04373 	1.485e-04 	9.390e-09 	1.384e-04 	4.637e-12 	3.338e-04 	3.268e-14 	3.305e-11 
0.49245 	0.04559 	1.485e-04 	9.442e-09 	1.384e-04 	4.665e-12 	3.338e-04 	3.288e-14 	3.314e-11 
0.51255 	0.04745 	1.485e-04 	9.495e-09 	1.384e-04 	4.692e-12 	3.338e-04 	3.308e-14 	3.323e-11 
0.53265 	0.04931 	1.484e-04 	9.549e-09 	1.384e-04 	4.720e-12 	3.338e-04 	3.328e-14 	3.333e-11 
0.55275 	0.05117 	1.484e-04 	9.602e-09 	1.384e-04 	4.748e-12 	3.338e-04 	3.348e-14 	3.342e-11 
0.57285 	0.05303 	1.484e-04 	9.656e-09 	1.384e-04 	4.776e-12 	3.338e-04 	3.369e-14 	3.351e-11 
0.59295 	0.05490 	1.484e-04 	9.710e-09 	1.384e-04 	4.805e-12 	3.338e-04 	3.390e-14 	3.361e-11 
0.61305 	0.05676 	1.484e-04 	9.765e-09 	1.385e-04 	4.833e-12 	3.338e-04 	3.410e-14 	3.370e-11 
0.63315 	0.05862 	1.484e-04 	9.820e-09 	1.385e-04 	4.862e-12 	3.338e-04 	3.431e-14 	3.379e-11 
0.65325 	0.06048 	1.484e-04 	9.875e-09 	1.385e-04 	4.890e-12 	3.338e-04 	3.452e-14 	3.389e-11 
0.67335 	0.06234 	1.484e-04 	9.930e-09 	1.385e-04 	4.919e-12 	3.338e-04 	3.474e-14 	3.398e-11 
0.69345 	0.06420 	1.484e-04 	9.986e-09 	1.385e-04 	4.949e-12 	3.339e-04 	3.495e-14 	3.408e-11 
0.71355 	0.06606 	1.484e-04 	1.004e-08 	1.385e-04 	4.978e-12 	3.339e-04 	3.516e-14 	3.417e-11 
0.73365 	0.06792 	1.484e-04 	1.010e-08 	1.385e-04 	5.007e-12 	3.339e-04 	3.538e-14 	3.427e-11 
0.75375 	0.06978 	1.483e-04 	1.015e-08 	1.385e-04 	5.037e-12 	3.339e-04 	3.560e-14 	3.436e-11 
0.77385 	0.07164 	1.483e-04 	1.021e-08 	1.385e-04 	5.067e-12 	3.339e-04 	3.582e-14 	3.446e-11 
0.79395 	0.07350 	1.483e-04 	1.027e-08 	1.385e-04 	5.097e-12 	3.339e-04 	3.604e-14 	3.455e-11 
0.81405 	0.07536 	1.483e-04 	1.033e-08 	1.385e-04 	5.127e-12 	3.339e-04 	3.626e-14 	3.465e-11 
0.83415 	0.07723 	1.483e-04 	1.038e-08 	1.385e-04 	5.157e-12 	3.339e-04 	3.648e-14 	3.475e-11 
0.85425 	0.07909 	1.483e-04 	1.044e-08 	1.385e-04 	5.188e-12 	3.339e-04 	3.670e-14 	3.484e-11 
0.87435 	0.08095 	1.483e-04 	1.050e-08 	1.385e-04 	5.219e-12 	3.339e-04 	3.693e-14 	3.494e-11 
0.89445 	0.08281 	1.483e-04 	1.056e-08 	1.385e-04 	5.250e-12 	3.339e-04 	3.716e-14 	3.504e-11 
0.91455 	0.08467 	1.483e-04 	1.062e-08 	1.385e-04 	5.281e-12 	3.339e-04 	3.738e-14 	3.514e-11 
0.93465 	0.08653 	1.483e-04 	1.068e-08 	1.385e-04 	5.312e-12 	3.339e-04 	3.761e-14 	3.523e-11 
0.95475 	0.08839 	1.483e-04 	1.074e-08 	1.385e-04 	5.343e-12 	3.340e-04 	3.785e-14 	3.533e-11 
0.97485 	0.09025 	1.482e-04 	1.080e-08 	1.385e-04 	5.375e-12 	3.340e-04 	3.808e-14 	3.543e-11 
0.99495 	0.09211 	1.482e-04 	1.086e-08 	1.385e-04 	5.407e-12 	3.340e-04 	3.831e-14 	3.553e-11 
1.01505 	0.09397 	1.482e-04 	1.092e-08 	1.385e-04 	5.439e-12 	3.340e-04 	3.855e-14 	3.563e-11 
1.03515 	0.09583 	1.482e-04 	1.098e-08 	1.385e-04 	5.471e-12 	3.340e-04 	3.879e-14 	3.573e-11 
1.05525 	0.09770 	1.482e-04 	1.104e-08 	1.385e-04 	5.503e-12 	3.340e-04 	3.902e-14 	3.583e-11 
1.07535 	0.09956 	1.482e-04 	1.111e-08 	1.385e-04 	5.536e-12 	3.340e-04 	3.926e-14 	3.593e-11 
1.09545 	0.10142 	1.482e-04 	1.117e-08 	1.385e-04 	5.568e-12 	3.340e-04 	3.951e-14 	3.603e-11 
1.11555 	0.10328 	1.482e-04 	1.123e-08 	1.385e-04 	5.601e-12 	3.340e-04 	3.975e-14 	3.613e-11 
1.13565 	0.10514 	1.482e-04 	1.129e-08 	1.385e-04 	5.634e-12 	3.340e-04 	3.999e-14 	3.623e-11 
1.15575 	0.10700 	1.482e-04 	1.136e-08 	1.385e-04 	5.668e-12 	3.340e-04 	4.024e-14 	3.633e-11 
1.17585 	0.10886 	1.482e-04 	1.142e-08 	1.385e-04 	5.701e-12 	3.340e-04 	4.049e-14 	3.644e-11 
1.19595 	0.11072 	1.482e-04 	1.149e-08 	1.385e-04 	5.735e-12 	3.340e-04 	4.074e-14 	3.654e-11 
1.21605 	0.11258 	1.481e-04 	1.155e-08 	1.385e-04 	5.769e-12 	3.340e-04 	4.099e-14 	3.664e-11 
1.23615 	0.11444 	1.481e-04 	1.161e-08 	1.385e-04 	5.803e-12 	3.340e-04 	4.124e-14 	3.674e-11 
1.25625 	0.11630 	1.481e-04 	1.168e-08 	1.385e-04 	5.837e-12 	3.341e-04 	4.149e-14 	3.685e-11 
1.27635 	0.11816 	1.481e-04 	1.175e-08 	1.385e-04 	5.871e-12 	3.341e-04 	4.175e-14 	3.695e-11 
1.29645 	0.12003 	1.481e-04 	1.181e-08 	1.386e-04 	5.906e-12 	3.341e-04 	4.201e-14 	3.706e-11 
1.31655 	0.12189 	1.481e-04 	1.188e-08 	1.386e-04 	5.941e-12 	3.341e-04 	4.227e-14 	3.716e-11 
1.33665 	0.12375 	1.481e-04 	1.194e-08 	1.386e-04 	5.976e-12 	3.341e-04 	4.253e-14 	3.726e-11 
1.35675 	0.12561 	1.481e-04 	1.201e-08 	1.386e-04 	6.011e-12 	3.341e-04 	4.279e-14 	3.737e-11 
1.37685 	0.12747 	1.481e-04 	1.208e-08 	1.386e-04 	6.047e-12 	3.341e-04 	4.305e-14 	3.747e-11 
1.39695 	0.12933 	1.481e-04 	1.215e-08 	1.386e-04 	6.082e-12 	3.341e-04 	4.332e-14 	3.758e-11 
1.41705 	0.13119 	1.481e-04 	1.221e-08 	1.386e-04 	6.118e-12 	3.341e-04 	4.359e-14 	3.769e-11 
1.43715 	0.13305 	1.481e-04 	1.228e-08 	1.386e-04 	6.154e-12 	3.341e-04 	4.386e-14 	3.779e-11 
1.45725 	0.13491 	1.481e-04 	1.235e-08 	1.386e-04 	6.191e-12 	3.341e-04 	4.413e-14 	3.790e-11 
1.47735 	0.13677 	1.480e-04 	1.242e-08 	1.386e-04 	6.227e-12 	3.341e-04 	4.440e-14 	3.800e-11 
1.49745 	0.13863 	1.480e-04 	1.249e-08 	1.386e-04 	6.264e-12 	3.341e-04 	4.467e-14 	3.811e-11 
1.51755 	0.14049 	1.480e-04 	1.256e-08 	1.386e-04 	6.301e-12 	3.341e-04 	4.495e-14 	3.822e-11 
1.53765 	0.14236 	1.480e-04 	1.263e-08 	1.386e-04 	6.338e-12 	3.342e-04 	4.523e-14 	3.833e-11 
1.55775 	0.14422 	1.480e-04 	1.270e-08 	1.386e-04 	6.375e-12 	3.342e-04 	4.550e-14 	3.844e-11 
1.57785 	0.14608 	1.480e-04 	1.277e-08 	1.386e-04 	6.413e-12 	3.342e-04 	4.579e-14 	3.854e-11 
1.59795 	0.14794 	1.480e-04 	1.284e-08 	1.386e-04 	6.451e-12 	3.342e-04 	4.607e-14 	3.865e-11 
1.61805 	0.14980 	1.480e-04 	1.292e-08 	1.386e-04 	6.489e-12 	3.342e-04 	4.635e-14 	3.876e-11 
1.63815 	0.15166 	1.480e-04 	1.299e-08 	1.386e-04 	6.527e-12 	3.342e-04 	4.664e-14 	3.887e-11 
1.65825 	0.15352 	1.480e-04 	1.306e-08 	1.386e-04 	6.566e-12 	3.342e-04 	4.693e-14 	3.898e-11 
1.67835 	0.15538 	1.480e-04 	1.314e-08 	1.386e-04 	6.604e-12 	3.342e-04 	4.722e-14 	3.909e-11 
1.69845 	0.15724 	1.480e-04 	1.321e-08 	1.386e-04 	6.643e-12 	3.342e-04 	4.751e-14 	3.920e-11 
1.71855 	0.15910 	1.479e-04 	1.328e-08 	1.386e-04 	6.682e-12 	3.342e-04 	4.780e-14 	3.931e-11 
1.73865 	0.16096 	1.479e-04 	1.336e-08 	1.386e-04 	6.722e-12 	3.342e-04 	4.810e-14 	3.942e-11 
1.75875 	0.16283 	1.479e-04 	1.343e-08 	1.386e-04 	6.761e-12 	3.342e-04 	4.840e-14 	3.954e-11 
1.77885 	0.16469 	1.479e-04 	1.351e-08 	1.386e-04 	6.801e-12 	3.342e-04 	4.870e-14 	3.965e-11 
1.79895 	0.16655 	1.479e-04 	1.358e-08 	1.386e-04 	6.841e-12 	3.342e-04 	4.900e-14 	3.976e-11 
1.81905 	0.16841 	1.479e-04 	1.366e-08 	1.386e-04 	6.882e-12 	3.343e-04 	4.930e-14 	3.987e-11 
1.83915 	0.17027 	1.479e-04 	1.374e-08 	1.386e-04 	6.922e-12 	3.343e-04 	4.960e-14 	3.999e-11 
1.85925 	0.17213 	1.479e-04 	1.381e-08 	1.386e-04 	6.963e-12 	3.343e-04 	4.991e-14 	4.010e-11 
1.87935 	0.17399 	1.479e-04 	1.389e-08 	1.386e-04 	7.004e-12 	3.343e-04 	5.022e-14 	4.021e-11 
1.89945 	0.17585 	1.479e-04 	1.397e-08 	1.386e-04 	7.045e-12 	3.343e-04 	5.053e-14 	4.033e-11 
1.91955 	0.17771 	1.479e-04 	1.405e-08 	1.386e-04 	7.087e-12 	3.343e-04 	5.084e-14 	4.044e-11 
1.93965 	0.17957 	1.479e-04 	1.413e-08 	1.386e-04 	7.128e-12 	3.343e-04 	5.116e-14 	4.056e-11 
1.95975 	0.18143 	1.479e-04 	1.421e-08 	1.386e-04 	7.170e-12 	3.343e-04 	5.148e-14 	4.067e-11 
1.97985 	0.18329 	1.479e-04 	1.429e-08 	1.386e-04 	7.213e-12 	3.343e-04 	5.179e-14 	4.079e-11 
1.99995 	0.18516 	1.478e-04 	1.437e-08 	1.386e-04 	7.255e-12 	3.343e-04 	5.211e-14 	4.090e-11 
