n = 1.0e+03, Tgas =   6.0, Tdust =   6.0, Go = 1000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.01551 	1.356e-04 	3.647e-09 	1.351e-04 	1.930e-13 	3.257e-04 	1.188e-18 	7.195e-14 
0.03015 	0.04652 	1.356e-04 	4.009e-09 	1.351e-04 	2.142e-13 	3.257e-04 	1.331e-18 	7.701e-14 
0.05025 	0.07754 	1.356e-04 	4.408e-09 	1.351e-04 	2.375e-13 	3.257e-04 	1.489e-18 	8.239e-14 
0.07035 	0.10855 	1.356e-04 	4.846e-09 	1.351e-04 	2.630e-13 	3.258e-04 	1.666e-18 	8.809e-14 
0.09045 	0.13956 	1.356e-04 	5.327e-09 	1.352e-04 	2.911e-13 	3.258e-04 	1.862e-18 	9.414e-14 
0.11055 	0.17058 	1.356e-04 	5.856e-09 	1.352e-04 	3.218e-13 	3.259e-04 	2.081e-18 	1.006e-13 
0.13065 	0.20159 	1.357e-04 	6.438e-09 	1.352e-04 	3.556e-13 	3.260e-04 	2.324e-18 	1.074e-13 
0.15075 	0.23261 	1.357e-04 	7.077e-09 	1.353e-04 	3.926e-13 	3.261e-04 	2.594e-18 	1.146e-13 
0.17085 	0.26362 	1.357e-04 	7.780e-09 	1.353e-04 	4.331e-13 	3.263e-04 	2.895e-18 	1.222e-13 
0.19095 	0.29464 	1.358e-04 	8.551e-09 	1.354e-04 	4.775e-13 	3.264e-04 	3.229e-18 	1.303e-13 
0.21105 	0.32565 	1.358e-04 	9.400e-09 	1.355e-04 	5.262e-13 	3.266e-04 	3.601e-18 	1.388e-13 
0.23115 	0.35666 	1.359e-04 	1.033e-08 	1.355e-04 	5.795e-13 	3.267e-04 	4.014e-18 	1.479e-13 
0.25125 	0.38768 	1.360e-04 	1.136e-08 	1.356e-04 	6.379e-13 	3.269e-04 	4.473e-18 	1.574e-13 
0.27135 	0.41869 	1.360e-04 	1.248e-08 	1.357e-04 	7.018e-13 	3.271e-04 	4.984e-18 	1.676e-13 
0.29145 	0.44971 	1.361e-04 	1.372e-08 	1.357e-04 	7.717e-13 	3.272e-04 	5.551e-18 	1.783e-13 
0.31155 	0.48072 	1.362e-04 	1.507e-08 	1.358e-04 	8.484e-13 	3.274e-04 	6.182e-18 	1.896e-13 
0.33165 	0.51174 	1.362e-04 	1.657e-08 	1.359e-04 	9.322e-13 	3.276e-04 	6.882e-18 	2.016e-13 
0.35175 	0.54275 	1.363e-04 	1.820e-08 	1.360e-04 	1.024e-12 	3.278e-04 	7.661e-18 	2.142e-13 
0.37185 	0.57376 	1.364e-04 	2.000e-08 	1.361e-04 	1.124e-12 	3.280e-04 	8.526e-18 	2.276e-13 
0.39195 	0.60478 	1.365e-04 	2.198e-08 	1.361e-04 	1.234e-12 	3.282e-04 	9.488e-18 	2.417e-13 
0.41205 	0.63579 	1.365e-04 	2.415e-08 	1.362e-04 	1.354e-12 	3.284e-04 	1.056e-17 	2.566e-13 
0.43215 	0.66681 	1.366e-04 	2.654e-08 	1.363e-04 	1.486e-12 	3.286e-04 	1.174e-17 	2.724e-13 
0.45225 	0.69782 	1.367e-04 	2.916e-08 	1.364e-04 	1.630e-12 	3.288e-04 	1.306e-17 	2.890e-13 
0.47235 	0.72884 	1.368e-04 	3.203e-08 	1.365e-04 	1.787e-12 	3.290e-04 	1.453e-17 	3.066e-13 
0.49245 	0.75985 	1.368e-04 	3.519e-08 	1.365e-04 	1.959e-12 	3.292e-04 	1.616e-17 	3.252e-13 
0.51255 	0.79086 	1.369e-04 	3.866e-08 	1.366e-04 	2.147e-12 	3.294e-04 	1.797e-17 	3.448e-13 
