n = 1.0e+03, Tgas =  27.5, Tdust =  27.5, Go =  10.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.01551 	1.431e-04 	1.742e-07 	1.428e-04 	1.940e-10 	3.448e-04 	3.044e-13 	2.151e-11 
0.03015 	0.04652 	1.431e-04 	1.912e-07 	1.428e-04 	2.151e-10 	3.448e-04 	3.383e-13 	2.266e-11 
0.05025 	0.07754 	1.431e-04 	2.098e-07 	1.428e-04 	2.386e-10 	3.448e-04 	3.761e-13 	2.387e-11 
0.07035 	0.10855 	1.431e-04 	2.302e-07 	1.428e-04 	2.647e-10 	3.448e-04 	4.180e-13 	2.514e-11 
0.09045 	0.13956 	1.430e-04 	2.526e-07 	1.428e-04 	2.937e-10 	3.448e-04 	4.644e-13 	2.648e-11 
0.11055 	0.17058 	1.430e-04 	2.771e-07 	1.427e-04 	3.260e-10 	3.448e-04 	5.160e-13 	2.788e-11 
0.13065 	0.20159 	1.430e-04 	3.041e-07 	1.427e-04 	3.619e-10 	3.449e-04 	5.732e-13 	2.936e-11 
0.15075 	0.23261 	1.430e-04 	3.336e-07 	1.427e-04 	4.019e-10 	3.449e-04 	6.366e-13 	3.092e-11 
0.17085 	0.26362 	1.429e-04 	3.660e-07 	1.427e-04 	4.465e-10 	3.449e-04 	7.069e-13 	3.255e-11 
0.19095 	0.29464 	1.429e-04 	4.015e-07 	1.426e-04 	4.960e-10 	3.449e-04 	7.849e-13 	3.427e-11 
0.21105 	0.32565 	1.429e-04 	4.405e-07 	1.426e-04 	5.513e-10 	3.449e-04 	8.713e-13 	3.608e-11 
0.23115 	0.35666 	1.428e-04 	4.832e-07 	1.426e-04 	6.128e-10 	3.449e-04 	9.669e-13 	3.798e-11 
0.25125 	0.38768 	1.428e-04 	5.300e-07 	1.425e-04 	6.813e-10 	3.449e-04 	1.073e-12 	3.998e-11 
0.27135 	0.41869 	1.427e-04 	5.813e-07 	1.425e-04 	7.576e-10 	3.449e-04 	1.190e-12 	4.208e-11 
0.29145 	0.44971 	1.427e-04 	6.376e-07 	1.424e-04 	8.427e-10 	3.450e-04 	1.320e-12 	4.429e-11 
0.31155 	0.48072 	1.426e-04 	6.992e-07 	1.424e-04 	9.376e-10 	3.450e-04 	1.464e-12 	4.662e-11 
0.33165 	0.51174 	1.426e-04 	7.667e-07 	1.423e-04 	1.043e-09 	3.450e-04 	1.623e-12 	4.905e-11 
0.35175 	0.54275 	1.425e-04 	8.407e-07 	1.422e-04 	1.161e-09 	3.450e-04 	1.798e-12 	5.162e-11 
0.37185 	0.57376 	1.424e-04 	9.218e-07 	1.422e-04 	1.292e-09 	3.450e-04 	1.993e-12 	5.431e-11 
0.39195 	0.60478 	1.423e-04 	1.011e-06 	1.421e-04 	1.439e-09 	3.450e-04 	2.207e-12 	5.714e-11 
0.41205 	0.63579 	1.422e-04 	1.108e-06 	1.420e-04 	1.602e-09 	3.450e-04 	2.444e-12 	6.011e-11 
0.43215 	0.66681 	1.421e-04 	1.214e-06 	1.419e-04 	1.784e-09 	3.450e-04 	2.706e-12 	6.324e-11 
0.45225 	0.69782 	1.420e-04 	1.331e-06 	1.418e-04 	1.988e-09 	3.450e-04 	2.995e-12 	6.652e-11 
0.47235 	0.72884 	1.419e-04 	1.458e-06 	1.416e-04 	2.214e-09 	3.451e-04 	3.314e-12 	6.996e-11 
0.49245 	0.75985 	1.418e-04 	1.597e-06 	1.415e-04 	2.467e-09 	3.451e-04 	3.665e-12 	7.358e-11 
0.51255 	0.79086 	1.416e-04 	1.750e-06 	1.414e-04 	2.749e-09 	3.451e-04 	4.053e-12 	7.739e-11 
0.53265 	0.82188 	1.415e-04 	1.916e-06 	1.412e-04 	3.063e-09 	3.451e-04 	4.480e-12 	8.138e-11 
0.55275 	0.85289 	1.413e-04 	2.098e-06 	1.410e-04 	3.413e-09 	3.451e-04 	4.951e-12 	8.558e-11 
0.57285 	0.88391 	1.411e-04 	2.297e-06 	1.408e-04 	3.804e-09 	3.451e-04 	5.469e-12 	8.998e-11 
0.59295 	0.91492 	1.409e-04 	2.514e-06 	1.406e-04 	4.240e-09 	3.451e-04 	6.040e-12 	9.461e-11 
0.61305 	0.94594 	1.406e-04 	2.751e-06 	1.404e-04 	4.725e-09 	3.451e-04 	6.667e-12 	9.948e-11 
0.63315 	0.97695 	1.404e-04 	3.009e-06 	1.401e-04 	5.267e-09 	3.451e-04 	7.358e-12 	1.046e-10 
0.65325 	1.00796 	1.401e-04 	3.291e-06 	1.398e-04 	5.871e-09 	3.452e-04 	8.117e-12 	1.100e-10 
0.67335 	1.03898 	1.398e-04 	3.597e-06 	1.395e-04 	6.543e-09 	3.452e-04 	8.951e-12 	1.156e-10 
0.69345 	1.06999 	1.395e-04 	3.931e-06 	1.392e-04 	7.293e-09 	3.452e-04 	9.868e-12 	1.215e-10 
0.71355 	1.10101 	1.391e-04 	4.294e-06 	1.389e-04 	8.128e-09 	3.452e-04 	1.088e-11 	1.278e-10 
0.73365 	1.13202 	1.387e-04 	4.689e-06 	1.385e-04 	9.058e-09 	3.452e-04 	1.198e-11 	1.344e-10 
0.75375 	1.16304 	1.383e-04 	5.117e-06 	1.380e-04 	1.009e-08 	3.452e-04 	1.320e-11 	1.413e-10 
0.77385 	1.19405 	1.378e-04 	5.582e-06 	1.376e-04 	1.125e-08 	3.453e-04 	1.453e-11 	1.485e-10 
0.79395 	1.22506 	1.373e-04 	6.086e-06 	1.371e-04 	1.253e-08 	3.453e-04 	1.599e-11 	1.562e-10 
0.81405 	1.25608 	1.368e-04 	6.632e-06 	1.365e-04 	1.395e-08 	3.453e-04 	1.760e-11 	1.643e-10 
