n = 9.0e+02, Tgas =  25.0, Tdust =  25.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.01396 	1.466e-04 	1.404e-10 	1.427e-04 	2.670e-15 	3.440e-04 	9.908e-20 	5.342e-15 
0.03015 	0.04187 	1.465e-04 	1.527e-10 	1.426e-04 	3.051e-15 	3.439e-04 	1.107e-19 	5.751e-15 
0.05025 	0.06978 	1.464e-04 	1.660e-10 	1.426e-04 	3.486e-15 	3.437e-04 	1.238e-19 	6.195e-15 
0.07035 	0.09770 	1.463e-04 	1.806e-10 	1.425e-04 	3.983e-15 	3.436e-04 	1.385e-19 	6.677e-15 
0.09045 	0.12561 	1.462e-04 	1.963e-10 	1.424e-04 	4.551e-15 	3.434e-04 	1.553e-19 	7.199e-15 
0.11055 	0.15352 	1.461e-04 	2.135e-10 	1.424e-04 	5.199e-15 	3.432e-04 	1.742e-19 	7.765e-15 
0.13065 	0.18143 	1.460e-04 	2.322e-10 	1.423e-04 	5.940e-15 	3.431e-04 	1.955e-19 	8.378e-15 
0.15075 	0.20935 	1.459e-04 	2.526e-10 	1.422e-04 	6.785e-15 	3.429e-04 	2.197e-19 	9.041e-15 
0.17085 	0.23726 	1.457e-04 	2.747e-10 	1.421e-04 	7.748e-15 	3.427e-04 	2.471e-19 	9.758e-15 
0.19095 	0.26517 	1.456e-04 	2.987e-10 	1.420e-04 	8.847e-15 	3.425e-04 	2.781e-19 	1.053e-14 
0.21105 	0.29309 	1.454e-04 	3.249e-10 	1.420e-04 	1.010e-14 	3.422e-04 	3.131e-19 	1.137e-14 
0.23115 	0.32100 	1.453e-04 	3.535e-10 	1.419e-04 	1.152e-14 	3.420e-04 	3.528e-19 	1.227e-14 
0.25125 	0.34891 	1.451e-04 	3.845e-10 	1.418e-04 	1.315e-14 	3.418e-04 	3.976e-19 	1.324e-14 
0.27135 	0.37682 	1.450e-04 	4.183e-10 	1.417e-04 	1.499e-14 	3.415e-04 	4.482e-19 	1.429e-14 
0.29145 	0.40474 	1.448e-04 	4.550e-10 	1.415e-04 	1.708e-14 	3.413e-04 	5.055e-19 	1.542e-14 
0.31155 	0.43265 	1.447e-04 	4.950e-10 	1.414e-04 	1.946e-14 	3.410e-04 	5.701e-19 	1.662e-14 
