n = 1.0e+03, Tgas =  27.0, Tdust =  27.0, Go =  10.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.01551 	1.431e-04 	1.759e-07 	1.428e-04 	1.936e-10 	3.447e-04 	2.991e-13 	2.132e-11 
0.03015 	0.04652 	1.430e-04 	1.930e-07 	1.428e-04 	2.147e-10 	3.447e-04 	3.325e-13 	2.246e-11 
0.05025 	0.07754 	1.430e-04 	2.117e-07 	1.428e-04 	2.381e-10 	3.447e-04 	3.696e-13 	2.366e-11 
0.07035 	0.10855 	1.430e-04 	2.323e-07 	1.427e-04 	2.642e-10 	3.447e-04 	4.108e-13 	2.492e-11 
0.09045 	0.13956 	1.430e-04 	2.549e-07 	1.427e-04 	2.932e-10 	3.448e-04 	4.565e-13 	2.624e-11 
0.11055 	0.17058 	1.430e-04 	2.797e-07 	1.427e-04 	3.254e-10 	3.448e-04 	5.071e-13 	2.764e-11 
0.13065 	0.20159 	1.430e-04 	3.069e-07 	1.427e-04 	3.613e-10 	3.448e-04 	5.634e-13 	2.910e-11 
0.15075 	0.23261 	1.429e-04 	3.367e-07 	1.427e-04 	4.012e-10 	3.448e-04 	6.257e-13 	3.065e-11 
0.17085 	0.26362 	1.429e-04 	3.694e-07 	1.426e-04 	4.457e-10 	3.448e-04 	6.948e-13 	3.227e-11 
0.19095 	0.29464 	1.429e-04 	4.053e-07 	1.426e-04 	4.952e-10 	3.448e-04 	7.714e-13 	3.397e-11 
0.21105 	0.32565 	1.428e-04 	4.446e-07 	1.426e-04 	5.504e-10 	3.448e-04 	8.564e-13 	3.577e-11 
0.23115 	0.35666 	1.428e-04 	4.877e-07 	1.425e-04 	6.118e-10 	3.448e-04 	9.504e-13 	3.765e-11 
0.25125 	0.38768 	1.428e-04 	5.350e-07 	1.425e-04 	6.803e-10 	3.449e-04 	1.055e-12 	3.964e-11 
0.27135 	0.41869 	1.427e-04 	5.868e-07 	1.424e-04 	7.565e-10 	3.449e-04 	1.170e-12 	4.172e-11 
0.29145 	0.44971 	1.427e-04 	6.435e-07 	1.424e-04 	8.415e-10 	3.449e-04 	1.298e-12 	4.391e-11 
0.31155 	0.48072 	1.426e-04 	7.058e-07 	1.423e-04 	9.363e-10 	3.449e-04 	1.439e-12 	4.621e-11 
0.33165 	0.51174 	1.425e-04 	7.739e-07 	1.423e-04 	1.042e-09 	3.449e-04 	1.595e-12 	4.863e-11 
0.35175 	0.54275 	1.425e-04 	8.486e-07 	1.422e-04 	1.160e-09 	3.449e-04 	1.768e-12 	5.118e-11 
0.37185 	0.57376 	1.424e-04 	9.304e-07 	1.421e-04 	1.291e-09 	3.449e-04 	1.959e-12 	5.385e-11 
0.39195 	0.60478 	1.423e-04 	1.020e-06 	1.420e-04 	1.437e-09 	3.449e-04 	2.170e-12 	5.666e-11 
0.41205 	0.63579 	1.422e-04 	1.118e-06 	1.419e-04 	1.600e-09 	3.449e-04 	2.403e-12 	5.961e-11 
0.43215 	0.66681 	1.421e-04 	1.225e-06 	1.418e-04 	1.782e-09 	3.450e-04 	2.660e-12 	6.270e-11 
0.45225 	0.69782 	1.420e-04 	1.343e-06 	1.417e-04 	1.985e-09 	3.450e-04 	2.944e-12 	6.596e-11 
0.47235 	0.72884 	1.419e-04 	1.472e-06 	1.416e-04 	2.212e-09 	3.450e-04 	3.258e-12 	6.938e-11 
0.49245 	0.75985 	1.417e-04 	1.612e-06 	1.415e-04 	2.464e-09 	3.450e-04 	3.604e-12 	7.297e-11 
0.51255 	0.79086 	1.416e-04 	1.766e-06 	1.413e-04 	2.746e-09 	3.450e-04 	3.985e-12 	7.674e-11 
0.53265 	0.82188 	1.414e-04 	1.934e-06 	1.411e-04 	3.060e-09 	3.450e-04 	4.405e-12 	8.071e-11 
0.55275 	0.85289 	1.412e-04 	2.118e-06 	1.410e-04 	3.410e-09 	3.450e-04 	4.868e-12 	8.487e-11 
0.57285 	0.88391 	1.410e-04 	2.318e-06 	1.408e-04 	3.800e-09 	3.450e-04 	5.377e-12 	8.924e-11 
0.59295 	0.91492 	1.408e-04 	2.537e-06 	1.406e-04 	4.236e-09 	3.450e-04 	5.938e-12 	9.384e-11 
0.61305 	0.94594 	1.406e-04 	2.776e-06 	1.403e-04 	4.721e-09 	3.451e-04 	6.556e-12 	9.867e-11 
0.63315 	0.97695 	1.403e-04 	3.036e-06 	1.401e-04 	5.262e-09 	3.451e-04 	7.235e-12 	1.037e-10 
0.65325 	1.00796 	1.400e-04 	3.320e-06 	1.398e-04 	5.865e-09 	3.451e-04 	7.982e-12 	1.091e-10 
0.67335 	1.03898 	1.397e-04 	3.630e-06 	1.395e-04 	6.538e-09 	3.451e-04 	8.803e-12 	1.147e-10 
0.69345 	1.06999 	1.394e-04 	3.966e-06 	1.391e-04 	7.287e-09 	3.451e-04 	9.705e-12 	1.206e-10 
0.71355 	1.10101 	1.390e-04 	4.332e-06 	1.388e-04 	8.121e-09 	3.451e-04 	1.070e-11 	1.268e-10 
0.73365 	1.13202 	1.387e-04 	4.730e-06 	1.384e-04 	9.050e-09 	3.451e-04 	1.178e-11 	1.333e-10 
0.75375 	1.16304 	1.382e-04 	5.162e-06 	1.380e-04 	1.008e-08 	3.452e-04 	1.298e-11 	1.402e-10 
0.77385 	1.19405 	1.378e-04 	5.631e-06 	1.375e-04 	1.124e-08 	3.452e-04 	1.429e-11 	1.474e-10 
0.79395 	1.22506 	1.373e-04 	6.139e-06 	1.370e-04 	1.252e-08 	3.452e-04 	1.573e-11 	1.550e-10 
0.81405 	1.25608 	1.367e-04 	6.689e-06 	1.365e-04 	1.394e-08 	3.452e-04 	1.731e-11 	1.631e-10 
0.83415 	1.28709 	1.361e-04 	7.284e-06 	1.359e-04 	1.553e-08 	3.453e-04 	1.905e-11 	1.715e-10 
0.85425 	1.31811 	1.355e-04 	7.926e-06 	1.352e-04 	1.729e-08 	3.453e-04 	2.095e-11 	1.805e-10 
0.87435 	1.34912 	1.348e-04 	8.619e-06 	1.346e-04 	1.925e-08 	3.453e-04 	2.305e-11 	1.899e-10 
0.89445 	1.38014 	1.341e-04 	9.365e-06 	1.338e-04 	2.142e-08 	3.453e-04 	2.534e-11 	1.999e-10 
0.91455 	1.41115 	1.333e-04 	1.017e-05 	1.330e-04 	2.383e-08 	3.454e-04 	2.786e-11 	2.105e-10 
0.93465 	1.44216 	1.324e-04 	1.103e-05 	1.322e-04 	2.650e-08 	3.454e-04 	3.063e-11 	2.217e-10 
0.95475 	1.47318 	1.315e-04 	1.195e-05 	1.313e-04 	2.947e-08 	3.454e-04 	3.367e-11 	2.336e-10 
0.97485 	1.50419 	1.305e-04 	1.294e-05 	1.303e-04 	3.275e-08 	3.455e-04 	3.702e-11 	2.462e-10 
0.99495 	1.53521 	1.295e-04 	1.400e-05 	1.292e-04 	3.639e-08 	3.455e-04 	4.069e-11 	2.596e-10 
1.01505 	1.56622 	1.284e-04 	1.512e-05 	1.281e-04 	4.041e-08 	3.455e-04 	4.474e-11 	2.739e-10 
1.03515 	1.59724 	1.272e-04 	1.632e-05 	1.269e-04 	4.485e-08 	3.456e-04 	4.920e-11 	2.891e-10 
1.05525 	1.62825 	1.259e-04 	1.759e-05 	1.257e-04 	4.976e-08 	3.456e-04 	5.411e-11 	3.053e-10 
1.07535 	1.65927 	1.246e-04 	1.894e-05 	1.244e-04 	5.517e-08 	3.457e-04 	5.953e-11 	3.226e-10 
1.09545 	1.69028 	1.232e-04 	2.036e-05 	1.229e-04 	6.114e-08 	3.457e-04 	6.551e-11 	3.411e-10 
1.11555 	1.72129 	1.217e-04 	2.186e-05 	1.215e-04 	6.772e-08 	3.458e-04 	7.212e-11 	3.609e-10 
1.13565 	1.75231 	1.202e-04 	2.344e-05 	1.199e-04 	7.496e-08 	3.458e-04 	7.943e-11 	3.822e-10 
1.15575 	1.78332 	1.185e-04 	2.510e-05 	1.183e-04 	8.292e-08 	3.459e-04 	8.753e-11 	4.050e-10 
