n = 1.0e+03, Tgas =  42.0, Tdust =  42.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.01551 	1.426e-04 	1.384e-06 	1.423e-04 	1.287e-08 	3.467e-04 	2.941e-11 	2.342e-10 
0.03015 	0.04652 	1.424e-04 	1.516e-06 	1.422e-04 	1.438e-08 	3.467e-04 	3.210e-11 	2.447e-10 
0.05025 	0.07754 	1.423e-04 	1.661e-06 	1.420e-04 	1.606e-08 	3.467e-04 	3.501e-11 	2.556e-10 
0.07035 	0.10855 	1.421e-04 	1.819e-06 	1.419e-04 	1.794e-08 	3.467e-04 	3.815e-11 	2.669e-10 
0.09045 	0.13956 	1.419e-04 	1.992e-06 	1.417e-04 	2.003e-08 	3.467e-04 	4.155e-11 	2.785e-10 
0.11055 	0.17058 	1.418e-04 	2.181e-06 	1.415e-04 	2.237e-08 	3.467e-04 	4.521e-11 	2.906e-10 
0.13065 	0.20159 	1.415e-04 	2.387e-06 	1.413e-04 	2.497e-08 	3.467e-04 	4.916e-11 	3.032e-10 
0.15075 	0.23261 	1.413e-04 	2.612e-06 	1.411e-04 	2.788e-08 	3.467e-04 	5.340e-11 	3.162e-10 
0.17085 	0.26362 	1.411e-04 	2.858e-06 	1.408e-04 	3.112e-08 	3.467e-04 	5.798e-11 	3.296e-10 
0.19095 	0.29464 	1.408e-04 	3.126e-06 	1.405e-04 	3.473e-08 	3.467e-04 	6.289e-11 	3.435e-10 
0.21105 	0.32565 	1.405e-04 	3.417e-06 	1.402e-04 	3.875e-08 	3.467e-04 	6.817e-11 	3.579e-10 
0.23115 	0.35666 	1.402e-04 	3.735e-06 	1.399e-04 	4.322e-08 	3.467e-04 	7.383e-11 	3.729e-10 
0.25125 	0.38768 	1.398e-04 	4.081e-06 	1.396e-04 	4.821e-08 	3.467e-04 	7.991e-11 	3.883e-10 
0.27135 	0.41869 	1.394e-04 	4.457e-06 	1.392e-04 	5.375e-08 	3.467e-04 	8.642e-11 	4.043e-10 
0.29145 	0.44971 	1.390e-04 	4.866e-06 	1.388e-04 	5.991e-08 	3.467e-04 	9.340e-11 	4.208e-10 
0.31155 	0.48072 	1.386e-04 	5.309e-06 	1.383e-04 	6.677e-08 	3.467e-04 	1.009e-10 	4.379e-10 
