n = 1.0e+04, Tgas =   7.0, Tdust =   7.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15507 	1.060e-04 	3.202e-05 	1.060e-04 	1.252e-06 	3.351e-04 	1.453e-11 	6.872e-11 
0.03015 	0.46521 	8.287e-05 	5.143e-05 	8.285e-05 	2.904e-06 	3.329e-04 	2.604e-11 	1.271e-10 
0.05025 	0.77536 	5.778e-05 	6.804e-05 	5.776e-05 	5.841e-06 	3.261e-04 	5.267e-11 	2.781e-10 
0.07035 	1.08550 	3.577e-05 	7.568e-05 	3.575e-05 	1.001e-05 	3.131e-04 	1.357e-10 	7.133e-10 
0.09045 	1.39564 	1.965e-05 	7.401e-05 	1.964e-05 	1.460e-05 	2.963e-04 	4.833e-10 	2.098e-09 
0.11055 	1.70579 	9.602e-06 	6.766e-05 	9.587e-06 	1.854e-05 	2.802e-04 	2.218e-09 	6.806e-09 
0.13065 	2.01593 	4.150e-06 	6.061e-05 	4.136e-06 	2.143e-05 	2.664e-04 	1.076e-08 	2.270e-08 
0.15075 	2.32607 	1.526e-06 	5.189e-05 	1.514e-06 	2.410e-05 	2.470e-04 	4.466e-08 	7.199e-08 
0.17085 	2.63622 	4.616e-07 	3.624e-05 	4.501e-07 	2.827e-05 	1.936e-04 	1.359e-07 	1.927e-07 
0.19095 	2.94636 	1.779e-07 	1.955e-05 	1.639e-07 	3.256e-05 	9.293e-05 	2.098e-07 	3.006e-07 
0.21105 	3.25650 	1.461e-07 	1.351e-05 	1.295e-07 	3.405e-05 	3.312e-05 	1.124e-07 	2.359e-07 
0.23115 	3.56664 	1.610e-07 	1.245e-05 	1.436e-07 	3.424e-05 	1.389e-05 	3.757e-08 	1.449e-07 
0.25125 	3.87679 	1.830e-07 	1.336e-05 	1.656e-07 	3.393e-05 	7.015e-06 	1.118e-08 	8.546e-08 
0.27135 	4.18693 	2.015e-07 	1.511e-05 	1.846e-07 	3.339e-05 	4.003e-06 	3.412e-09 	5.122e-08 
0.29145 	4.49707 	2.140e-07 	1.675e-05 	1.976e-07 	3.286e-05 	2.478e-06 	1.174e-09 	3.211e-08 
0.31155 	4.80722 	2.208e-07 	1.750e-05 	2.047e-07 	3.254e-05 	1.643e-06 	4.867e-10 	2.155e-08 
0.33165 	5.11736 	2.227e-07 	1.692e-05 	2.067e-07 	3.254e-05 	1.166e-06 	2.528e-10 	1.573e-08 
0.35175 	5.42750 	2.212e-07 	1.514e-05 	2.050e-07 	3.284e-05 	8.850e-07 	1.646e-10 	1.253e-08 
0.37185 	5.73765 	2.177e-07 	1.267e-05 	2.012e-07 	3.332e-05 	7.162e-07 	1.298e-10 	1.075e-08 
0.39195 	6.04779 	2.137e-07 	1.012e-05 	1.969e-07 	3.384e-05 	6.125e-07 	1.175e-10 	9.764e-09 
0.41205 	6.35793 	2.100e-07 	7.869e-06 	1.928e-07 	3.431e-05 	5.477e-07 	1.159e-10 	9.207e-09 
0.43215 	6.66807 	2.069e-07 	6.055e-06 	1.895e-07 	3.470e-05 	5.064e-07 	1.195e-10 	8.891e-09 
0.45225 	6.97822 	2.046e-07 	4.681e-06 	1.869e-07 	3.499e-05 	4.799e-07 	1.253e-10 	8.708e-09 
0.47235 	7.28836 	2.030e-07 	3.676e-06 	1.851e-07 	3.521e-05 	4.625e-07 	1.315e-10 	8.602e-09 
0.49245 	7.59850 	2.017e-07 	2.957e-06 	1.837e-07 	3.536e-05 	4.511e-07 	1.373e-10 	8.539e-09 
0.51255 	7.90865 	2.009e-07 	2.450e-06 	1.828e-07 	3.547e-05 	4.436e-07 	1.422e-10 	8.501e-09 
0.53265 	8.21879 	2.003e-07 	2.095e-06 	1.821e-07 	3.555e-05 	4.385e-07 	1.461e-10 	8.478e-09 
0.55275 	8.52893 	1.999e-07 	1.848e-06 	1.816e-07 	3.561e-05 	4.351e-07 	1.490e-10 	8.464e-09 
0.57285 	8.83908 	1.996e-07 	1.677e-06 	1.813e-07 	3.564e-05 	4.328e-07 	1.512e-10 	8.455e-09 
0.59295 	9.14922 	1.994e-07 	1.559e-06 	1.811e-07 	3.567e-05 	4.312e-07 	1.528e-10 	8.449e-09 
0.61305 	9.45936 	1.992e-07 	1.477e-06 	1.809e-07 	3.569e-05 	4.302e-07 	1.540e-10 	8.446e-09 
0.63315 	9.76950 	1.991e-07 	1.420e-06 	1.808e-07 	3.570e-05 	4.295e-07 	1.548e-10 	8.443e-09 
0.65325 	10.07965 	1.991e-07 	1.381e-06 	1.807e-07 	3.571e-05 	4.290e-07 	1.553e-10 	8.442e-09 
0.67335 	10.38979 	1.990e-07 	1.354e-06 	1.807e-07 	3.571e-05 	4.286e-07 	1.557e-10 	8.441e-09 
0.69345 	10.69993 	1.990e-07 	1.335e-06 	1.806e-07 	3.572e-05 	4.284e-07 	1.560e-10 	8.440e-09 
0.71355 	11.01008 	1.990e-07 	1.323e-06 	1.806e-07 	3.572e-05 	4.282e-07 	1.562e-10 	8.439e-09 
0.73365 	11.32022 	1.990e-07 	1.314e-06 	1.806e-07 	3.572e-05 	4.281e-07 	1.563e-10 	8.439e-09 
0.75375 	11.63036 	1.990e-07 	1.308e-06 	1.806e-07 	3.572e-05 	4.280e-07 	1.564e-10 	8.439e-09 
0.77385 	11.94051 	1.990e-07 	1.304e-06 	1.806e-07 	3.572e-05 	4.280e-07 	1.565e-10 	8.439e-09 
0.79395 	12.25065 	1.989e-07 	1.301e-06 	1.806e-07 	3.573e-05 	4.280e-07 	1.565e-10 	8.439e-09 
0.81405 	12.56079 	1.989e-07 	1.299e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.439e-09 
0.83415 	12.87093 	1.989e-07 	1.297e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.439e-09 
0.85425 	13.18108 	1.989e-07 	1.296e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
0.87435 	13.49122 	1.989e-07 	1.296e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
0.89445 	13.80136 	1.989e-07 	1.295e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
0.91455 	14.11151 	1.989e-07 	1.295e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
0.93465 	14.42165 	1.989e-07 	1.295e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
0.95475 	14.73179 	1.989e-07 	1.295e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
0.97485 	15.04194 	1.989e-07 	1.294e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
0.99495 	15.35208 	1.989e-07 	1.294e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
1.01505 	15.66222 	1.989e-07 	1.294e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
1.03515 	15.97236 	1.989e-07 	1.294e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
1.05525 	16.28251 	1.989e-07 	1.294e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
1.07535 	16.59265 	1.989e-07 	1.294e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
1.09545 	16.90279 	1.989e-07 	1.294e-06 	1.806e-07 	3.573e-05 	4.279e-07 	1.566e-10 	8.438e-09 
