n = 1.0e+04, Tgas =  12.0, Tdust =  12.0, Go = 1000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15507 	1.407e-04 	4.051e-08 	1.406e-04 	8.299e-12 	3.385e-04 	5.042e-16 	1.872e-13 
0.03015 	0.46521 	1.410e-04 	1.030e-07 	1.410e-04 	2.072e-11 	3.390e-04 	1.408e-15 	3.228e-13 
0.05025 	0.77536 	1.411e-04 	2.614e-07 	1.411e-04 	5.242e-11 	3.391e-04 	3.978e-15 	5.520e-13 
0.07035 	1.08550 	1.409e-04 	6.603e-07 	1.408e-04 	1.355e-10 	3.388e-04 	1.132e-14 	9.403e-13 
0.09045 	1.39564 	1.400e-04 	1.654e-06 	1.399e-04 	3.598e-10 	3.384e-04 	3.223e-14 	1.603e-12 
0.11055 	1.70579 	1.376e-04 	4.063e-06 	1.376e-04 	9.793e-10 	3.382e-04 	9.101e-14 	2.755e-12 
0.13065 	2.01593 	1.323e-04 	9.557e-06 	1.322e-04 	2.707e-09 	3.382e-04 	2.526e-13 	4.848e-12 
0.15075 	2.32607 	1.213e-04 	2.063e-05 	1.213e-04 	7.440e-09 	3.387e-04 	6.853e-13 	8.958e-12 
0.17085 	2.63622 	1.033e-04 	3.888e-05 	1.033e-04 	1.976e-08 	3.398e-04 	1.840e-12 	1.792e-11 
0.19095 	2.94636 	8.022e-05 	6.230e-05 	8.019e-05 	4.944e-08 	3.412e-04 	5.117e-12 	3.940e-11 
0.21105 	3.25650 	5.674e-05 	8.604e-05 	5.671e-05 	1.152e-07 	3.427e-04 	1.568e-11 	9.429e-11 
0.23115 	3.56664 	3.683e-05 	1.060e-04 	3.679e-05 	2.495e-07 	3.438e-04 	5.465e-11 	2.393e-10 
0.25125 	3.87679 	2.198e-05 	1.203e-04 	2.194e-05 	5.045e-07 	3.441e-04 	2.104e-10 	6.255e-10 
0.27135 	4.18693 	1.199e-05 	1.287e-04 	1.196e-05 	9.585e-07 	3.431e-04 	8.305e-10 	1.629e-09 
0.29145 	4.49707 	5.950e-06 	1.315e-04 	5.916e-06 	1.744e-06 	3.401e-04 	3.039e-09 	4.036e-09 
0.31155 	4.80722 	2.735e-06 	1.281e-04 	2.705e-06 	3.204e-06 	3.333e-04 	9.318e-09 	9.082e-09 
0.33165 	5.11736 	1.230e-06 	1.150e-04 	1.207e-06 	6.382e-06 	3.179e-04 	2.315e-08 	1.844e-08 
0.35175 	5.42750 	5.682e-07 	8.380e-05 	5.504e-07 	1.320e-05 	2.836e-04 	5.193e-08 	3.576e-08 
0.37185 	5.73765 	2.816e-07 	4.007e-05 	2.661e-07 	2.249e-05 	2.312e-04 	1.264e-07 	6.953e-08 
0.39195 	6.04779 	1.809e-07 	1.451e-05 	1.653e-07 	2.774e-05 	1.802e-04 	2.912e-07 	1.240e-07 
0.41205 	6.35793 	1.471e-07 	6.676e-06 	1.303e-07 	2.925e-05 	1.131e-04 	4.630e-07 	1.816e-07 
0.43215 	6.66807 	1.534e-07 	7.863e-06 	1.343e-07 	2.891e-05 	4.624e-05 	3.130e-07 	1.745e-07 
0.45225 	6.97822 	1.976e-07 	2.174e-05 	1.794e-07 	2.590e-05 	2.237e-05 	7.865e-08 	1.207e-07 
0.47235 	7.28836 	2.610e-07 	4.840e-05 	2.448e-07 	2.020e-05 	1.537e-05 	1.729e-08 	7.962e-08 
0.49245 	7.59850 	3.161e-07 	7.323e-05 	3.003e-07 	1.491e-05 	1.094e-05 	5.013e-09 	5.203e-08 
0.51255 	7.90865 	3.522e-07 	9.053e-05 	3.359e-07 	1.122e-05 	7.539e-06 	1.757e-09 	3.428e-08 
0.53265 	8.21879 	3.711e-07 	1.000e-04 	3.544e-07 	9.187e-06 	5.164e-06 	7.235e-10 	2.346e-08 
0.55275 	8.52893 	3.786e-07 	1.028e-04 	3.620e-07 	8.567e-06 	3.655e-06 	3.568e-10 	1.712e-08 
0.57285 	8.83908 	3.785e-07 	1.001e-04 	3.624e-07 	9.105e-06 	2.714e-06 	2.124e-10 	1.347e-08 
0.59295 	9.14922 	3.717e-07 	9.302e-05 	3.564e-07 	1.056e-05 	2.088e-06 	1.480e-10 	1.133e-08 
0.61305 	9.45936 	3.590e-07 	8.304e-05 	3.443e-07 	1.261e-05 	1.628e-06 	1.147e-10 	1.000e-08 
0.63315 	9.76950 	3.421e-07 	7.162e-05 	3.278e-07 	1.495e-05 	1.273e-06 	9.556e-11 	9.119e-09 
0.65325 	10.07965 	3.233e-07 	6.000e-05 	3.089e-07 	1.732e-05 	9.971e-07 	8.380e-11 	8.485e-09 
0.67335 	10.38979 	3.044e-07 	4.898e-05 	2.897e-07 	1.953e-05 	7.855e-07 	7.683e-11 	8.007e-09 
0.69345 	10.69993 	2.866e-07 	3.904e-05 	2.714e-07 	2.150e-05 	6.266e-07 	7.351e-11 	7.636e-09 
0.71355 	11.01008 	2.709e-07 	3.041e-05 	2.549e-07 	2.316e-05 	5.095e-07 	7.335e-11 	7.350e-09 
0.73365 	11.32022 	2.575e-07 	2.321e-05 	2.406e-07 	2.452e-05 	4.251e-07 	7.602e-11 	7.130e-09 
0.75375 	11.63036 	2.466e-07 	1.743e-05 	2.289e-07 	2.559e-05 	3.652e-07 	8.118e-11 	6.965e-09 
0.77385 	11.94051 	2.382e-07 	1.295e-05 	2.197e-07 	2.640e-05 	3.234e-07 	8.827e-11 	6.843e-09 
0.79395 	12.25065 	2.318e-07 	9.579e-06 	2.126e-07 	2.699e-05 	2.946e-07 	9.652e-11 	6.755e-09 
0.81405 	12.56079 	2.271e-07 	7.114e-06 	2.074e-07 	2.742e-05 	2.749e-07 	1.050e-10 	6.692e-09 
0.83415 	12.87093 	2.238e-07 	5.344e-06 	2.036e-07 	2.772e-05 	2.614e-07 	1.131e-10 	6.648e-09 
0.85425 	13.18108 	2.214e-07 	4.091e-06 	2.010e-07 	2.793e-05 	2.522e-07 	1.201e-10 	6.617e-09 
0.87435 	13.49122 	2.198e-07 	3.210e-06 	1.991e-07 	2.808e-05 	2.459e-07 	1.258e-10 	6.595e-09 
0.89445 	13.80136 	2.186e-07 	2.596e-06 	1.977e-07 	2.818e-05 	2.415e-07 	1.303e-10 	6.581e-09 
0.91455 	14.11151 	2.178e-07 	2.169e-06 	1.968e-07 	2.825e-05 	2.386e-07 	1.337e-10 	6.570e-09 
0.93465 	14.42165 	2.172e-07 	1.873e-06 	1.962e-07 	2.830e-05 	2.365e-07 	1.361e-10 	6.563e-09 
0.95475 	14.73179 	2.169e-07 	1.669e-06 	1.957e-07 	2.833e-05 	2.352e-07 	1.379e-10 	6.558e-09 
0.97485 	15.04194 	2.166e-07 	1.527e-06 	1.954e-07 	2.835e-05 	2.342e-07 	1.392e-10 	6.555e-09 
0.99495 	15.35208 	2.164e-07 	1.430e-06 	1.952e-07 	2.837e-05 	2.335e-07 	1.401e-10 	6.553e-09 
1.01505 	15.66222 	2.163e-07 	1.362e-06 	1.951e-07 	2.838e-05 	2.331e-07 	1.407e-10 	6.551e-09 
1.03515 	15.97236 	2.162e-07 	1.316e-06 	1.950e-07 	2.839e-05 	2.328e-07 	1.412e-10 	6.550e-09 
1.05525 	16.28251 	2.161e-07 	1.284e-06 	1.949e-07 	2.840e-05 	2.325e-07 	1.415e-10 	6.549e-09 
1.07535 	16.59265 	2.161e-07 	1.262e-06 	1.948e-07 	2.840e-05 	2.324e-07 	1.417e-10 	6.549e-09 
1.09545 	16.90279 	2.161e-07 	1.246e-06 	1.948e-07 	2.840e-05 	2.323e-07 	1.418e-10 	6.548e-09 
1.11555 	17.21294 	2.160e-07 	1.236e-06 	1.948e-07 	2.840e-05 	2.322e-07 	1.419e-10 	6.548e-09 
1.13565 	17.52308 	2.160e-07 	1.229e-06 	1.948e-07 	2.840e-05 	2.322e-07 	1.420e-10 	6.548e-09 
1.15575 	17.83322 	2.160e-07 	1.224e-06 	1.948e-07 	2.840e-05 	2.321e-07 	1.421e-10 	6.548e-09 
1.17585 	18.14337 	2.160e-07 	1.220e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.421e-10 	6.548e-09 
1.19595 	18.45351 	2.160e-07 	1.218e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.421e-10 	6.548e-09 
1.21605 	18.76365 	2.160e-07 	1.216e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.421e-10 	6.548e-09 
1.23615 	19.07379 	2.160e-07 	1.215e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.421e-10 	6.548e-09 
1.25625 	19.38394 	2.160e-07 	1.214e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.421e-10 	6.548e-09 
1.27635 	19.69408 	2.160e-07 	1.214e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.29645 	20.00422 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.31655 	20.31437 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.33665 	20.62451 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.35675 	20.93465 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.37685 	21.24480 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.39695 	21.55494 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.41705 	21.86508 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.43715 	22.17522 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.45725 	22.48537 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.47735 	22.79551 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.49745 	23.10565 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.51755 	23.41580 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.53765 	23.72594 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.55775 	24.03608 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.57785 	24.34623 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
1.59795 	24.65637 	2.160e-07 	1.213e-06 	1.947e-07 	2.841e-05 	2.321e-07 	1.422e-10 	6.548e-09 
