n = 1.0e+04, Tgas =  45.5, Tdust =  45.5, Go = 100.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15507 	1.438e-04 	2.050e-07 	1.438e-04 	3.114e-10 	3.472e-04 	1.037e-13 	3.929e-12 
0.03015 	0.46521 	1.435e-04 	5.181e-07 	1.435e-04 	8.722e-10 	3.473e-04 	2.905e-13 	6.491e-12 
0.05025 	0.77536 	1.428e-04 	1.301e-06 	1.428e-04 	2.500e-09 	3.474e-04 	7.965e-13 	1.067e-11 
0.07035 	1.08550 	1.409e-04 	3.221e-06 	1.409e-04 	7.271e-09 	3.475e-04 	2.110e-12 	1.739e-11 
0.09045 	1.39564 	1.364e-04 	7.713e-06 	1.364e-04 	2.116e-08 	3.476e-04 	5.348e-12 	2.821e-11 
0.11055 	1.70579 	1.270e-04 	1.722e-05 	1.270e-04 	6.023e-08 	3.479e-04 	1.306e-11 	4.637e-11 
0.13065 	2.01593 	1.103e-04 	3.406e-05 	1.102e-04 	1.624e-07 	3.483e-04 	3.191e-11 	8.024e-11 
0.15075 	2.32607 	8.694e-05 	5.742e-05 	8.691e-05 	4.027e-07 	3.487e-04 	8.305e-11 	1.524e-10 
0.17085 	2.63622 	6.165e-05 	8.253e-05 	6.162e-05 	9.020e-07 	3.490e-04 	2.405e-10 	3.227e-10 
0.19095 	2.94636 	3.939e-05 	1.042e-04 	3.937e-05 	1.820e-06 	3.488e-04 	7.698e-10 	7.531e-10 
0.21105 	3.25650 	2.269e-05 	1.196e-04 	2.266e-05 	3.324e-06 	3.478e-04 	2.569e-09 	1.882e-09 
0.23115 	3.56664 	1.176e-05 	1.284e-04 	1.174e-05 	5.602e-06 	3.459e-04 	8.094e-09 	4.804e-09 
0.25125 	3.87679 	5.555e-06 	1.311e-04 	5.538e-06 	9.216e-06 	3.424e-04 	2.129e-08 	1.168e-08 
0.27135 	4.18693 	2.523e-06 	1.273e-04 	2.509e-06 	1.613e-05 	3.355e-04 	4.347e-08 	2.546e-08 
0.29145 	4.49707 	1.199e-06 	1.140e-04 	1.188e-06 	3.069e-05 	3.209e-04 	7.223e-08 	4.917e-08 
0.31155 	4.80722 	6.352e-07 	8.799e-05 	6.251e-07 	5.732e-05 	2.942e-04 	1.111e-07 	8.554e-08 
0.33165 	5.11736 	3.779e-07 	5.335e-05 	3.678e-07 	9.222e-05 	2.591e-04 	1.823e-07 	1.367e-07 
0.35175 	5.42750 	2.481e-07 	2.406e-05 	2.370e-07 	1.217e-04 	2.293e-04 	3.497e-07 	2.078e-07 
0.37185 	5.73765 	1.752e-07 	8.732e-06 	1.623e-07 	1.371e-04 	2.130e-04 	7.440e-07 	3.115e-07 
0.39195 	6.04779 	1.289e-07 	3.254e-06 	1.133e-07 	1.426e-04 	2.058e-04 	1.493e-06 	4.596e-07 
0.41205 	6.35793 	9.834e-08 	1.438e-06 	7.945e-08 	1.444e-04 	2.014e-04 	2.699e-06 	6.491e-07 
0.43215 	6.66807 	7.839e-08 	7.477e-07 	5.596e-08 	1.451e-04 	1.968e-04 	4.540e-06 	8.577e-07 
0.45225 	6.97822 	6.555e-08 	4.366e-07 	3.974e-08 	1.455e-04 	1.908e-04 	7.256e-06 	1.051e-06 
